symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
300918,南山智尚,300918.SZ,20260306,76.477,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,16.13,15.8,0.3981,0.0888,0.4254,0.4222,-0.00163,0.0202,,,,,,,,,,,
600619,海立股份,600619.SH,20260306,76.248,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,18.32,18.06,0.3572,0.0829,0.2868,0.5011,-0.00228,0.0094,,,,,,,,,,,
300199,翰宇药业,300199.SZ,20260306,76.204,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,17.2,16.39,0.3912,0.0807,0.3524,0.4307,-0.00476,0.0481,,,,,,,,,,,
688687,凯因科技,688687.SH,20260306,75.763,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,21.15,20.59,0.3929,0.0623,0.3636,0.5269,-0.00208,0.0222,,,,,,,,,,,
300803,指南针,300803.SZ,20260306,75.661,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,112.38,110.19,0.3722,0.0401,0.4089,0.5021,-0.0064,0.0147,,,,,,,,,,,
688373,盟科药业,688373.SH,20260306,75.638,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,5.92,5.63,0.4258,0.0835,0.2482,0.6302,-0.00307,0.0478,,,,,,,,,,,
002059,云南旅游,002059.SZ,20260306,75.53,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,5.11,4.99,0.3684,0.0717,0.207,0.6383,-0.00343,0.0261,,,,,,,,,,,
301397,溯联股份,301397.SZ,20260306,75.372,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,30.68,30.17,0.3701,0.1563,0.3698,0.5071,0.00037,0.0193,,,,,,,,,,,
600698,湖南天雁,600698.SH,20260306,75.353,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,8.07,8.01,0.357,0.0568,0.2077,0.6405,-0.00097,0.0113,,,,,,,,,,,
688411,海博思创,688411.SH,20260306,75.315,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,229.4,222.0,0.4615,0.3563,0.3557,0.8173,0.0024,0.0248,,,,,,,,,,,
301498,乖宝宠物,301498.SZ,20260306,75.206,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,59.71,57.88,0.412,0.0534,0.2947,0.6862,-0.00606,0.0259,,,,,,,,,,,
002317,众生药业,002317.SZ,20260306,75.016,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,18.01,17.52,0.3561,0.1538,0.4099,0.3422,-0.00526,0.0227,,,,,,,,,,,
688303,大全能源,688303.SH,20260306,74.729,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,23.01,22.66,0.3562,0.0392,0.3028,0.7328,-0.00455,0.0039,,,,,,,,,,,
603392,万泰生物,603392.SH,20260306,74.622,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,39.2,37.99,0.3677,0.0559,0.2885,0.4932,-0.00474,0.0308,,,,,,,,,,,
