symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date,close,open,chg_pct,limit_pct,is_limit_up,limit_up_streak,up_streak,yang_streak,ret_3d,ret_5d,ret_10d,hard_stop,dist_to_key_pct,in_pullback_zone,vol_ratio_prev,vol_ratio_ma20,ext_to_ma20_pct,category,strategy_hint,detail
300019,硅宝科技,0,2026-02-24,MA60,21.5445,22.18,23.11,1.713,3,1.0638,2026-02-27,23.11,22.77,0.83,20.0,0,0,1,1,4.19,8.5,9.16,21.1136,7.27,0,0.627,0.973,4.58,等待回踩,不追高，等待回到关键位附近再评估,距MA60+7.3% | 连涨1天 | 连阳1天
300145,南方泵业,0,2026-02-24,MA120,4.6014,4.83,4.95,1.57,3,1.0432,2026-02-27,4.95,4.94,-1.79,20.0,0,0,0,2,2.48,3.34,11.24,4.5094,7.58,0,0.495,1.623,6.17,等待回踩,不追高，等待回到关键位附近再评估,距MA120+7.6% | 连阳2天
001258,立新能源,0,2026-02-24,MA60,7.4555,7.9,8.03,2.067,3,1.0516,2026-02-27,8.03,7.93,1.26,10.0,0,0,2,2,1.65,4.42,6.22,7.3064,7.71,0,1.198,1.386,4.25,等待回踩,不追高，等待回到关键位附近再评估,距MA60+7.7% | 连涨2天 | 连阳2天
600798,宁波海运,1,2026-02-24,MA60,3.6713,3.88,3.97,1.87,3,1.0705,2026-02-27,3.97,3.91,0.76,10.0,0,0,4,4,2.32,5.87,7.01,3.5979,8.14,0,0.699,0.752,4.82,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.1% | 连涨4天 | 连阳4天
002797,第一创业,0,2026-02-24,MA60,6.9568,7.1,7.53,2.537,3,1.0436,2026-02-27,7.53,7.26,3.72,10.0,0,0,1,1,6.06,9.77,8.82,6.8177,8.24,0,1.51,2.862,7.19,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.2% | 连涨1天 | 连阳1天
000966,长源电力,0,2026-02-24,MA120,4.4316,4.62,4.8,1.75,3,1.0425,2026-02-27,4.8,4.69,2.13,10.0,0,0,2,2,3.9,4.12,7.87,4.343,8.31,0,1.522,2.132,5.51,等待回踩,不追高，等待回到关键位附近再评估,距MA120+8.3% | 连涨2天 | 连阳2天
301291,明阳电气,0,2026-02-24,High60,53.45,60.54,57.95,2.869,3,1.0842,2026-02-27,57.95,59.15,-2.83,20.0,0,0,0,0,-4.28,10.28,30.9,52.381,8.42,0,0.818,1.145,16.46,等待回踩,不追高，等待回到关键位附近再评估,距High60+8.4% | 超涨
300218,安利股份,0,2026-02-24,MA60,16.4075,17.53,17.79,2.905,3,1.0782,2026-02-27,17.79,17.69,0.57,20.0,0,0,1,1,1.48,6.4,7.17,16.0794,8.43,0,0.808,1.174,4.55,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.4% | 连涨1天 | 连阳1天
301560,众捷汽车,0,2026-02-24,High60,39.58,40.74,42.95,3.198,3,1.0291,2026-02-27,42.95,43.1,2.14,20.0,0,0,2,0,5.42,15.3,12.88,38.7884,8.51,0,0.976,1.64,12.11,等待回踩,不追高，等待回到关键位附近再评估,距High60+8.5% | 连涨2天
300545,联得装备,0,2026-02-24,MA60,31.9677,34.02,34.69,2.29,3,1.0526,2026-02-27,34.69,33.91,1.26,20.0,0,0,2,2,1.97,13.51,10.09,31.3283,8.52,0,0.912,0.78,6.2,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.5% | 连涨2天 | 连阳2天
601083,锦江航运,1,2026-02-24,MA60,11.516,11.94,12.53,2.227,3,1.0481,2026-02-27,12.53,12.23,2.45,10.0,0,0,4,4,4.94,4.59,5.65,11.2857,8.81,0,1.318,1.633,5.35,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.8% | 连涨4天 | 连阳4天
301665,泰禾股份,0,2026-02-24,MA60,29.5137,32.07,32.12,1.979,3,1.0883,2026-02-27,32.12,31.9,-0.06,20.0,0,0,0,1,0.16,7.53,11.07,28.9234,8.83,0,0.609,0.771,4.55,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.8% | 连阳1天
300643,万通智控,0,2026-02-24,MA60,19.4697,20.31,21.19,1.583,3,1.0339,2026-02-27,21.19,20.35,4.13,20.0,0,0,2,2,4.33,8.06,12.53,19.0803,8.84,0,2.635,2.66,7.74,等待回踩,不追高，等待回到关键位附近再评估,距MA60+8.8% | 连涨2天 | 连阳2天
300812,易天股份,0,2026-02-24,High60,41.76,44.44,45.52,2.499,3,1.0345,2026-02-27,45.52,42.52,-0.07,20.0,0,0,0,7,2.43,30.8,51.99,40.9248,9.0,0,0.699,1.154,32.5,等待回踩,不追高，等待回到关键位附近再评估,距High60+9.0% | 超涨 | 连阳7天
002632,道明光学,0,2026-02-24,MA60,12.7575,13.26,13.91,2.87,3,1.0582,2026-02-27,13.91,13.6,1.31,10.0,0,0,6,6,4.9,12.36,15.63,12.5023,9.03,0,1.404,2.186,9.6,等待回踩,不追高，等待回到关键位附近再评估,距MA60+9.0% | 连涨6天 | 连阳6天
600726,华电能源,1,2026-02-24,MA60,2.4947,2.63,2.72,2.146,3,1.0583,2026-02-27,2.72,2.67,2.26,10.0,0,0,4,2,3.42,5.84,6.67,2.4448,9.03,0,1.173,1.445,5.71,等待回踩,不追高，等待回到关键位附近再评估,距MA60+9.0% | 连涨4天 | 连阳2天
688260,昀冢科技,1,2026-02-24,MA60,32.1408,35.71,35.06,3.782,3,1.0644,2026-02-27,35.06,33.78,2.48,20.0,0,0,1,1,-1.82,19.21,20.15,31.498,9.08,0,0.797,2.005,11.98,等待回踩,不追高，等待回到关键位附近再评估,距MA60+9.1% | 连涨1天 | 连阳1天
600727,鲁北化工,1,2026-02-24,MA120,7.4038,7.86,8.08,1.507,3,1.0792,2026-02-27,8.08,7.96,1.13,10.0,0,0,1,1,2.8,5.07,7.45,7.2558,9.13,0,0.806,1.14,6.04,等待回踩,不追高，等待回到关键位附近再评估,距MA120+9.1% | 连涨1天 | 连阳1天
300551,古鳌科技,0,2026-02-24,High60,18.98,19.62,20.75,1.512,3,1.0748,2026-02-27,20.75,20.35,1.72,20.0,0,0,1,6,5.76,15.09,21.49,18.6004,9.33,0,1.096,1.077,15.32,等待回踩,不追高，等待回到关键位附近再评估,距High60+9.3% | 超涨 | 连涨1天 | 连阳6天
000519,中兵红箭,0,2026-02-24,MA60,18.4978,19.68,20.28,1.651,3,1.0688,2026-02-27,20.28,19.91,1.35,10.0,0,0,6,6,3.05,8.97,8.92,18.1279,9.63,0,1.12,1.187,5.98,等待回踩,不追高，等待回到关键位附近再评估,距MA60+9.6% | 连涨6天 | 连阳6天
603693,江苏新能,1,2026-02-24,MA60,12.211,12.65,13.39,1.691,3,1.0441,2026-02-27,13.39,13.04,2.68,10.0,0,0,4,4,5.85,6.78,8.25,11.9668,9.66,0,1.273,2.581,6.06,等待回踩,不追高，等待回到关键位附近再评估,距MA60+9.7% | 连涨4天 | 连阳4天
603685,晨丰科技,1,2026-02-24,High60,26.24,27.19,28.78,1.662,3,1.0633,2026-02-27,28.78,28.46,1.12,10.0,0,0,5,5,5.85,19.87,18.78,25.7152,9.68,0,0.805,0.691,20.53,等待回踩,不追高，等待回到关键位附近再评估,距High60+9.7% | 超涨 | 连涨5天 | 连阳5天
301196,唯科科技,0,2026-02-24,MA120,85.0706,87.11,93.31,1.626,3,1.0521,2026-02-27,93.31,91.12,-0.71,20.0,0,0,0,4,7.12,9.8,24.23,83.3692,9.69,0,0.707,1.288,15.54,等待回踩,不追高，等待回到关键位附近再评估,距MA120+9.7% | 超涨 | 连阳4天
002903,宇环数控,0,2026-02-24,MA60,22.9335,23.8,25.31,3.891,3,1.04,2026-02-27,25.31,24.44,3.39,10.0,0,0,4,4,6.34,11.69,14.47,22.4748,10.36,0,0.968,2.1,11.74,等待回踩,不追高，等待回到关键位附近再评估,距MA60+10.4% | 连涨4天 | 连阳4天
000601,韶能股份,0,2026-02-24,MA120,5.1283,5.33,5.66,1.892,3,1.051,2026-02-27,5.66,5.42,4.04,10.0,0,0,4,4,6.19,7.4,10.12,5.0258,10.37,0,1.85,3.27,8.55,等待回踩,不追高，等待回到关键位附近再评估,距MA120+10.4% | 连涨4天 | 连阳4天
002145,钛能化学,0,2026-02-24,MA60,5.0172,5.26,5.54,1.558,3,1.0763,2026-02-27,5.54,5.4,2.4,10.0,0,0,4,1,5.32,8.63,9.92,4.9168,10.42,0,1.05,1.205,6.05,等待回踩,不追高，等待回到关键位附近再评估,距MA60+10.4% | 连涨4天 | 连阳1天
300264,佳创视讯,0,2026-02-24,High60,9.43,10.42,10.48,1.924,3,1.1113,2026-02-27,10.48,10.6,-5.5,20.0,0,0,0,0,0.58,16.7,52.1,9.2414,11.13,0,0.766,1.298,30.04,等待回踩,不追高，等待回到关键位附近再评估,距High60+11.1% | 超涨
002457,青龙管业,0,2026-02-24,High60,13.23,13.7,14.72,1.824,3,1.0627,2026-02-27,14.72,14.74,-0.27,10.0,0,0,0,0,7.45,16.83,17.48,12.9654,11.26,0,0.522,0.918,15.18,等待回踩,不追高，等待回到关键位附近再评估,距High60+11.3% | 超涨
600780,通宝能源,1,2026-02-24,MA60,5.911,6.21,6.58,1.529,3,1.059,2026-02-27,6.58,6.42,2.33,10.0,0,0,4,4,5.96,7.34,7.69,5.7928,11.32,0,1.037,1.675,6.44,等待回踩,不追高，等待回到关键位附近再评估,距MA60+11.3% | 连涨4天 | 连阳4天
600791,京能置业,1,2026-02-24,High60,7.29,7.9,8.16,2.985,3,1.1111,2026-02-27,8.16,8.48,-1.81,10.0,0,0,0,0,3.29,23.08,27.3,7.1442,11.93,0,0.792,1.012,21.66,等待回踩,不追高，等待回到关键位附近再评估,距High60+11.9% | 超涨
601866,中远海发,1,2026-02-24,MA120,2.5872,2.73,2.91,1.67,3,1.1171,2026-02-27,2.91,2.89,0.69,10.0,0,0,1,4,6.59,7.78,11.07,2.5354,12.48,0,0.518,1.251,8.2,等待回踩,不追高，等待回到关键位附近再评估,距MA120+12.5% | 连涨1天 | 连阳4天
600227,赤天化,1,2026-02-24,MA60,2.5587,2.68,2.88,3.61,3,1.1178,2026-02-27,2.88,2.84,0.7,10.0,0,0,1,1,7.46,12.5,15.66,2.5075,12.56,0,0.491,1.908,9.92,等待回踩,不追高，等待回到关键位附近再评估,距MA60+12.6% | 连涨1天 | 连阳1天
002811,郑中设计,0,2026-02-24,MA60,14.8977,16.14,16.95,2.299,3,1.1378,2026-02-27,16.95,17.45,-2.98,10.0,0,0,0,0,5.02,15.38,18.45,14.5997,13.78,0,0.679,1.933,9.64,等待回踩,不追高，等待回到关键位附近再评估,距MA60+13.8%
603871,嘉友国际,1,2026-02-24,MA60,13.6745,14.66,15.6,1.629,3,1.1028,2026-02-27,15.6,15.15,3.38,10.0,0,0,4,1,6.41,9.78,12.31,13.401,14.08,0,1.164,1.275,11.13,等待回踩,不追高，等待回到关键位附近再评估,距MA60+14.1% | 连涨4天 | 连阳1天
601390,中国中铁,1,2026-02-24,MA60,5.4922,6.05,6.3,2.111,3,1.1198,2026-02-27,6.3,6.18,2.44,10.0,0,0,1,1,4.13,11.9,13.11,5.3823,14.71,0,1.107,0.875,10.54,等待回踩,不追高，等待回到关键位附近再评估,距MA60+14.7% | 连涨1天 | 连阳1天
000039,中集集团,0,2026-02-24,High60,11.75,12.06,13.5,1.574,3,1.0494,2026-02-27,13.5,13.18,-0.15,10.0,0,0,0,4,11.94,17.29,19.57,11.515,14.89,0,0.757,1.087,23.2,等待回踩,不追高，等待回到关键位附近再评估,距High60+14.9% | 超涨 | 连阳4天
002136,安纳达,0,2026-02-24,MA60,12.6328,14.04,14.54,1.998,3,1.132,2026-02-27,14.54,14.27,1.68,10.0,0,0,1,4,3.56,12.8,12.71,12.3802,15.1,0,1.081,1.931,8.91,等待回踩,不追高，等待回到关键位附近再评估,距MA60+15.1% | 连涨1天 | 连阳4天
301217,铜冠铜箔,0,2026-02-24,High60,41.05,44.95,47.45,2.155,3,1.1559,2026-02-27,47.45,48.5,-4.81,20.0,0,0,0,0,5.56,28.38,58.59,40.229,15.59,0,0.82,1.27,33.5,等待回踩,不追高，等待回到关键位附近再评估,距High60+15.6% | 超涨
000791,甘肃能源,0,2026-02-24,MA60,6.6572,6.8,7.71,1.744,3,1.0335,2026-02-27,7.71,7.2,7.83,10.0,0,0,4,4,13.38,13.88,16.11,6.524,15.82,0,2.961,4.581,13.03,等待回踩,不追高，等待回到关键位附近再评估,距MA60+15.8% | 连涨4天 | 连阳4天
000988,华工科技,0,2026-02-24,MA60,77.4227,82.42,89.86,1.765,3,1.1121,2026-02-27,89.86,86.82,1.48,10.0,0,0,4,4,9.03,17.25,20.41,75.8742,16.06,0,0.955,1.824,14.48,等待回踩,不追高，等待回到关键位附近再评估,距MA60+16.1% | 连涨4天 | 连阳4天
