symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000088,盐 田 港,0,2023-02-08,2023-02-09,2023-02-09,1,5.22,5.26176,0.638768,止盈
000166,申万宏源,0,2023-02-08,2023-02-09,2023-02-09,1,4.13,4.16304,0.638768,止盈
000415,渤海租赁,0,2023-02-09,2023-02-10,2023-02-14,3,2.33,2.34864,0.638768,止盈
000166,申万宏源,0,2023-02-10,2023-02-13,2023-02-13,1,4.17,4.20336,0.638768,止盈
000404,长虹华意,0,2023-02-10,2023-02-13,2023-02-13,1,6.15,6.1992,0.638768,止盈
000026,飞亚达,0,2023-02-14,2023-02-15,2023-02-16,2,11.82,11.3472,-4.153554,止损
000088,盐 田 港,0,2023-02-14,2023-02-15,2023-02-22,6,5.33,5.22,-2.220441,时间止盈
000166,申万宏源,0,2023-02-14,2023-02-15,2023-02-16,2,4.21,4.24368,0.638768,止盈
000014,沙河股份,0,2023-02-15,2023-02-16,2023-02-16,1,10.36,10.44288,0.638768,止盈
000019,深粮控股,0,2023-02-15,2023-02-16,2023-02-16,1,7.76,7.82208,0.638768,止盈
000048,京基智农,0,2023-02-15,2023-02-16,2023-02-16,1,20.16,20.32128,0.638768,止盈
000019,深粮控股,0,2023-02-20,2023-02-21,2023-02-22,2,7.85,7.9128,0.638768,止盈
000409,云鼎科技,0,2023-02-21,2023-02-22,2023-02-22,1,7.63,7.69104,0.638768,止盈
000417,合百集团,0,2023-02-21,2023-02-22,2023-02-22,1,5.21,5.25168,0.638768,止盈
000037,深南电A,0,2023-02-22,2023-02-23,2023-02-27,3,8.5,8.16,-4.153554,止损
000166,申万宏源,0,2023-02-22,2023-02-23,2023-02-23,1,4.23,4.26384,0.638768,止盈
000156,华数传媒,0,2023-02-24,2023-02-27,2023-02-28,2,7.98,8.04384,0.638768,止盈
000166,申万宏源,0,2023-02-24,2023-02-27,2023-03-01,3,4.19,4.22352,0.638768,止盈
