symbol,name,industry,score,pct_chg,turnover_rate,volume_ratio,amount_yi,trade_date,reason,ts_code
000990,诚志股份,化工原料,37.77144893813287,10.0112,6.9823,2.23,8.21062063,20260312,涨幅10.0% 成交额8.2亿 换手7.0% 量比2.23,000990.SZ
688125,安达智能,专用机械,37.62719086657481,12.4931,2.1525,1.47,4.8809464899999995,20260312,涨幅12.5% 成交额4.9亿 换手2.2% 量比1.47,688125.SH
603757,大元泵业,机械基件,37.57369046026549,4.1113,20.0484,3.83,18.608195470000002,20260312,涨幅4.1% 成交额18.6亿 换手20.0% 量比3.83,603757.SH
601969,海南矿业,普钢,37.5716065816669,10.0,5.2818,1.38,13.682137890000002,20260312,涨幅10.0% 成交额13.7亿 换手5.3% 量比1.38,601969.SH
300699,光威复材,化纤,37.454981951730424,7.0564,8.0719,3.06,27.6152699,20260312,涨幅7.1% 成交额27.6亿 换手8.1% 量比3.06,300699.SZ
002366,融发核电,专用机械,37.38899428514064,5.8896,14.8604,2.24,23.702601729999998,20260312,涨幅5.9% 成交额23.7亿 换手14.9% 量比2.24,002366.SZ
002487,大金重工,电气设备,37.19803260857903,10.0075,3.7141,1.27,16.4138898,20260312,涨幅10.0% 成交额16.4亿 换手3.7% 量比1.27,002487.SZ
688275,万润新能,电气设备,37.15594508226671,8.9303,10.4083,1.55,9.496861110000001,20260312,涨幅8.9% 成交额9.5亿 换手10.4% 量比1.55,688275.SH
600956,新天绿能,供气供热,37.08759841709109,10.0,4.0057,3.02,8.6315542,20260312,涨幅10.0% 成交额8.6亿 换手4.0% 量比3.02,600956.SH
000422,湖北宜化,农药化肥,36.79870008947168,5.7671,14.2589,1.64,28.872401349999997,20260312,涨幅5.8% 成交额28.9亿 换手14.3% 量比1.64,000422.SZ
000938,紫光股份,IT设备,36.55037665481531,5.113,7.2678,4.0,55.55842438,20260312,涨幅5.1% 成交额55.6亿 换手7.3% 量比4.00,000938.SZ
601858,中国科传,出版业,35.93408611293391,8.1218,5.2866,4.57,9.51225299,20260312,涨幅8.1% 成交额9.5亿 换手5.3% 量比4.57,601858.SH
002150,正泰电源,机械基件,35.87421688843031,10.0067,6.4527,1.21,7.44829142,20260312,涨幅10.0% 成交额7.4亿 换手6.5% 量比1.21,002150.SZ
301358,湖南裕能,电气设备,35.45726560574172,7.1827,5.7723,1.78,32.58187213,20260312,涨幅7.2% 成交额32.6亿 换手5.8% 量比1.78,301358.SZ
300040,九洲集团,新型电力,35.30013254347778,3.9801,25.194,1.35,10.61013166,20260312,涨幅4.0% 成交额10.6亿 换手25.2% 量比1.35,300040.SZ
000593,德龙汇能,供气供热,35.29370173972031,9.9789,8.2433,1.31,4.50433209,20260312,涨幅10.0% 成交额4.5亿 换手8.2% 量比1.31,000593.SZ
002360,同德化工,化工原料,35.20277431694854,6.9884,16.7461,3.14,3.49586722,20260312,涨幅7.0% 成交额3.5亿 换手16.7% 量比3.14,002360.SZ
000537,绿发电力,新型电力,35.165468607222905,10.0264,3.5856,1.41,9.13512539,20260312,涨幅10.0% 成交额9.1亿 换手3.6% 量比1.41,000537.SZ
603693,江苏新能,新型电力,35.12555807604073,9.9857,4.1659,2.66,5.4647834699999995,20260312,涨幅10.0% 成交额5.5亿 换手4.2% 量比2.66,603693.SH
