symbol,name,industry,trade_date,decline_pct,decline_detail,vol_pct_avg,vol_ratio,last_close,last_pct_chg,turnover_rate,circ_mv_yi,avg_amount_yi,weekly_detail,index_bullish,reason,ts_code
001322,箭牌家居,家居用品,20260413,-17.5,30日跌-17.5%,4.17,,7.45,0.13,0.34,58.53,0.2,,0,30日跌-17.5% 连续2日地量(<15.0%分位) 放量 阳线确认,001322.SZ
601698,中国卫通,电信运营,20260413,-17.5,30日跌-17.5%,9.17,,32.71,0.31,0.74,1381.8,10.28,,0,30日跌-17.5% 连续2日地量(<15.0%分位) 放量 阳线确认,601698.SH
300140,节能环境,环境保护,20260413,-17.45,30日跌-17.4%,5.0,,6.34,0.32,1.92,64.68,1.24,,0,30日跌-17.4% 连续2日地量(<15.0%分位) 放量 阳线确认,300140.SZ
002210,飞马国际,环境保护,20260413,-17.31,30日跌-17.3%,2.5,,2.58,0.39,1.26,68.53,0.86,,0,30日跌-17.3% 连续2日地量(<15.0%分位) 放量 阳线确认,002210.SZ
002171,楚江新材,铜,20260413,-17.21,30日跌-17.2%,10.0,,11.35,0.27,1.56,183.16,2.86,,0,30日跌-17.2% 连续2日地量(<15.0%分位) 放量 阳线确认,002171.SZ
300719,安达维尔,航空,20260413,-17.21,30日跌-17.2%,3.33,,15.92,0.95,2.16,28.6,0.62,,0,30日跌-17.2% 连续2日地量(<15.0%分位) 放量 阳线确认,300719.SZ
300455,航天智装,IT设备,20260413,-17.15,30日跌-17.2%,7.5,,23.91,0.63,1.21,169.43,2.05,,0,30日跌-17.2% 连续2日地量(<15.0%分位) 放量 阳线确认,300455.SZ
000096,广聚能源,石油贸易,20260413,-17.08,30日跌-17.1%,9.17,,10.0,0.7,1.36,51.08,0.69,,0,30日跌-17.1% 连续2日地量(<15.0%分位) 放量 阳线确认,000096.SZ
920080,奥美森,专用机械,20260413,-17.04,30日跌-17.0%,5.0,,22.49,0.72,1.06,5.1,0.05,,0,30日跌-17.0% 连续2日地量(<15.0%分位) 放量 阳线确认,920080.BJ
300471,厚普股份,专用机械,20260413,-16.76,30日跌-16.8%,7.5,,13.21,1.15,2.4,48.42,1.16,,0,30日跌-16.8% 连续2日地量(<15.0%分位) 放量 阳线确认,300471.SZ
300797,钢研纳克,电器仪表,20260413,-16.76,30日跌-16.8%,9.17,,15.0,0.07,0.56,56.77,0.32,,0,30日跌-16.8% 连续2日地量(<15.0%分位) 放量 阳线确认,300797.SZ
688563,航材股份,航空,20260413,-16.76,30日跌-16.8%,7.5,,60.08,0.81,1.5,70.29,1.06,,0,30日跌-16.8% 连续2日地量(<15.0%分位) 放量 阳线确认,688563.SH
300278,华昌达,专用机械,20260413,-16.61,30日跌-16.6%,7.5,,4.62,0.22,0.96,65.12,0.63,,0,30日跌-16.6% 连续2日地量(<15.0%分位) 放量 阳线确认,300278.SZ
301030,仕净科技,环境保护,20260413,-16.43,30日跌-16.4%,7.5,,10.43,0.97,2.63,21.08,0.55,,0,30日跌-16.4% 连续2日地量(<15.0%分位) 放量 阳线确认,301030.SZ
000637,茂化实华,石油加工,20260413,-16.42,30日跌-16.4%,5.83,,4.53,0.67,2.46,16.52,0.4,,0,30日跌-16.4% 连续2日地量(<15.0%分位) 放量 阳线确认,000637.SZ
001914,招商积余,房产服务,20260413,-16.39,30日跌-16.4%,13.33,,9.69,1.15,0.61,102.11,0.62,,0,30日跌-16.4% 连续2日地量(<15.0%分位) 放量 阳线确认,001914.SZ
