market,code,name,signal_mode,rim_left_date,rim_left_price,rim_right_date,rim_right_price,bottom_date,bottom_low,cup_days,cup_depth,rim_diff,handle_days,handle_pullback,handle_high,breakout_date,breakout_close,dist_to_breakout,breakout_vol_ratio,bottom_vol_ratio,left_neg_ratio,right_pos_ratio,score,reason
0,300138,晨光生物,setup,20251021,14.99,20260227,14.49,20251204,12.02,85,0.18783783783783792,0.0333555703802535,7,0.07123287671232871,14.58,20260310,14.4,0.012499999999999956,0.5373867741400232,0.28240698773822626,0.59375,0.5471698113207547,64.32763047838675,杯底+杯柄临近突破
1,603098,森特股份,setup,20250909,16.44,20260127,16.05,20251212,12.21,92,0.26929982046678635,0.02372262773722631,24,0.09623689080814314,16.15,20260310,15.94,0.013174404015056318,0.9817444952232071,0.1571960934036956,0.5967741935483871,0.6333333333333333,64.3193267094696,杯底+杯柄临近突破
0,301166,优宁维,setup,20250804,34.26,20260225,33.5,20251217,28.58,133,0.16236811254396263,0.022183304144775193,9,0.09157832744405181,33.64,20260310,33.45,0.00568011958146486,0.37483624979596625,0.4436711519952013,0.4945054945054945,0.6190476190476191,64.31724601991368,杯底+杯柄临近突破
1,600808,马钢股份,setup,20251111,4.37,20260305,4.26,20251217,3.63,74,0.16838487972508598,0.02517162471395888,3,0.048837209302325574,4.28,20260310,4.24,0.009433962264151052,0.7242668552420319,0.5122143064787036,0.5384615384615384,0.5625,64.11303130003735,杯底+杯柄临近突破
1,603701,德宏股份,setup,20250820,21.88,20260127,21.69,20251124,16.46,106,0.2612208258527828,0.00868372943327229,24,0.15336879432624104,22.29,20260310,22.14,0.006775067750677488,0.9551185409716891,0.42294424758469623,0.5483870967741935,0.5681818181818182,64.07188979057146,杯底+杯柄临近突破
0,000037,深南电A,setup,20250707,10.56,20260227,10.11,20251217,8.17,155,0.21177038109020746,0.042613636363636465,7,0.07374631268436578,10.27,20260310,10.16,0.010826771653543288,0.5967168834509703,0.08189764173398349,0.5315315315315315,0.6136363636363636,63.87877007166438,杯底+杯柄临近突破
0,000425,徐工机械,setup,20251016,11.75,20260303,11.98,20251201,9.92,90,0.17982637453493172,0.019198664440734592,5,0.0563725490196078,12.45,20260310,12.39,0.004842615012106366,0.6363776017979507,0.9448526594608292,0.5,0.43103448275862066,62.640308039558306,杯底+杯柄临近突破
1,600867,通化东宝,setup,20251103,9.27,20260127,9.09,20251230,8.13,59,0.13510638297872318,0.01941747572815531,24,0.09629629629629632,9.25,20260310,9.13,0.013143483023001057,0.8648676895179761,0.46289635691492403,0.5853658536585366,0.7777777777777778,62.43205327579366,杯底+杯柄临近突破
0,300854,中兰环保,setup,20250924,23.17,20260304,23.78,20251217,15.11,101,0.35906680805938507,0.02565180824222033,4,0.015846538782318557,25.72,20260310,25.54,0.007047768206734473,0.34510357345886483,0.2550766619688555,0.6111111111111112,0.574468085106383,62.36458217508736,杯底+杯柄临近突破
1,600379,宝光股份,setup,20250731,13.92,20260305,13.41,20251121,11.13,141,0.1978378378378378,0.03663793103448274,3,0.019174041297935086,14.26,20260310,14.11,0.010630758327427436,1.4566081135197508,0.6270407417214356,0.56,0.5909090909090909,62.31789437826418,杯底+杯柄临近突破
0,002090,金智科技,setup,20251015,12.59,20260204,12.75,20251121,10.56,78,0.16981132075471686,0.012549019607843149,18,0.09984399375975048,12.99,20260310,12.9,0.006976744186046435,0.838190895367659,0.6422385895349935,0.48148148148148145,0.47058823529411764,62.253444836977096,杯底+杯柄临近突破
1,600742,富维股份,setup,20250917,10.87,20260305,10.57,20251121,9.32,107,0.146129180027485,0.027598896044158137,3,0.05601469237832885,10.71,20260310,10.62,0.00847457627118664,0.5099649255598339,0.4029058619676964,0.5853658536585366,0.5,62.20484829663307,杯底+杯柄临近突破
0,301065,本立科技,setup,20250813,25.99,20260227,24.8,20251217,20.29,128,0.20711215318483786,0.04578684109272789,7,0.06733870967741942,24.77,20260310,24.71,0.002428166734115722,0.4945883239703683,0.26306806223912477,0.47619047619047616,0.6590909090909091,62.192684172130384,杯底+杯柄临近突破
1,603073,彩蝶实业,setup,20251118,20.35,20260210,20.87,20251217,17.52,58,0.15688161693936484,0.024916147580258723,14,0.08062234794908066,21.65,20260310,21.37,0.013102480112306969,0.6962485228805513,0.6083552958197989,0.5714285714285714,0.5945945945945946,61.83842735309969,杯底+杯柄临近突破
1,600461,洪城环境,setup,20250415,10.25,20260302,10.02,20250925,8.76,211,0.14201762977473076,0.022439024390243943,6,0.030693069306930745,10.08,20260310,9.97,0.011033099297893534,0.43687183051688416,0.8851896695063016,0.49557522123893805,0.4897959183673469,61.68187398657153,杯底+杯柄临近突破
1,600780,通宝能源,setup,20250714,6.33,20260225,6.26,20251217,5.61,148,0.11792452830188667,0.011058451816745701,9,0.012618296529968466,6.81,20260310,6.72,0.013392857142857206,0.8806373006831277,0.9073071474536951,0.41509433962264153,0.5238095238095238,61.56604583020989,杯底+杯柄临近突破
0,300554,三超新材,setup,20250702,27.69,20260226,26.84,20251217,21.91,154,0.24370037970314115,0.030697002527988494,8,0.14052651093807933,26.92,20260310,26.52,0.015082956259427016,0.5893978584660561,0.18173677979319625,0.5405405405405406,0.5581395348837209,61.5096349435282,杯底+杯柄临近突破
0,300800,力合科技,setup,20250826,12.61,20260225,13.07,20251219,10.0,117,0.23136049192928515,0.03519510328997711,9,0.10165662650602407,13.18,20260310,13.05,0.009961685823754785,0.6420952733736204,0.5835403169826245,0.5454545454545454,0.575,61.42785981928747,杯底+杯柄临近突破
