ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage_quality_pass,close_vs_cost,stage_quality_chip_band_max,stage_quality_close_vs_cost_min,stage_quality_close_vs_cost_max,stage_quality_trend_change_rate_max
688390.SH,固德威,0.2146,99.45,83.6,104.5,97.39,71.79,-0.7757,0.0,-0.1383,20260327,4,主升锁仓,4,主升锁仓,1,1.0212,0.33,1.0,,0.0
002846.SZ,英联股份,0.1477,14.47,13.4,15.5,14.22,71.81,-0.7124,0.0,-0.2644,20260327,4,主升锁仓,4,主升锁仓,1,1.0176,0.33,1.0,,0.0
300329.SZ,海伦钢琴,0.1758,15.28,13.4,16.0,14.79,71.89,-0.4274,0.0086,-0.3135,20260327,4,主升锁仓,4,主升锁仓,1,1.0331,0.33,1.0,,0.0
300032.SZ,金龙机电,0.1325,6.12,5.6,6.4,6.04,72.03,-0.4169,0.0103,-0.101,20260327,4,主升锁仓,4,主升锁仓,1,1.0132,0.33,1.0,,0.0
603052.SH,可川科技,0.1622,64.19,56.8,66.8,61.66,72.34,-0.7018,0.0,-0.31,20260327,4,主升锁仓,4,主升锁仓,1,1.041,0.33,1.0,,0.0
600997.SH,开滦股份,0.1952,6.66,5.9,7.2,6.66,72.36,-0.9706,0.0,-0.2119,20260327,4,主升锁仓,4,主升锁仓,1,1.0,0.33,1.0,,0.0
688319.SH,欧林生物,0.2949,29.74,23.2,31.4,27.81,72.48,-0.4421,0.0059,-0.069,20260327,4,主升锁仓,4,主升锁仓,1,1.0694,0.33,1.0,,0.0
000796.SZ,凯撒旅业,0.1711,5.37,5.0,5.9,5.26,72.85,-0.3423,0.0372,-0.0916,20260327,4,主升锁仓,4,主升锁仓,1,1.0209,0.33,1.0,,0.0
002869.SZ,金溢科技,0.1348,24.5,22.0,25.2,23.74,72.97,-0.4421,0.0059,-0.0553,20260327,4,主升锁仓,4,主升锁仓,1,1.032,0.33,1.0,,0.0
000631.SZ,顺发恒能,0.32,3.93,3.1,4.3,3.75,74.02,-0.7255,0.0,-0.008,20260327,4,主升锁仓,4,主升锁仓,1,1.048,0.33,1.0,,0.0
603196.SH,璞源材料,0.2214,27.22,23.0,28.8,26.2,74.07,-0.783,0.0,-0.0756,20260327,4,主升锁仓,4,主升锁仓,1,1.0389,0.33,1.0,,0.0
920047.BJ,诺思兰德,0.1771,24.49,21.9,26.1,23.72,74.19,-0.57,0.0006,-0.0686,20260327,4,主升锁仓,4,主升锁仓,1,1.0325,0.33,1.0,,0.0
300937.SZ,药易购,0.1387,29.61,27.9,32.0,29.55,74.32,-0.7789,0.0,-0.2298,20260327,4,主升锁仓,4,主升锁仓,1,1.002,0.33,1.0,,0.0
601326.SH,秦港股份,0.2247,3.69,3.1,3.9,3.56,74.47,-0.7814,0.0,-0.0056,20260327,4,主升锁仓,4,主升锁仓,1,1.0365,0.33,1.0,,0.0
601985.SH,中国核电,0.123,9.16,8.5,9.6,8.94,74.57,-0.8932,0.0,-0.3125,20260327,4,主升锁仓,4,主升锁仓,1,1.0246,0.33,1.0,,0.0
002109.SZ,兴化股份,0.211,4.93,4.2,5.2,4.74,74.74,-0.7684,0.0,-0.3346,20260327,4,主升锁仓,4,主升锁仓,1,1.0401,0.33,1.0,,0.0
601311.SH,骆驼股份,0.1046,9.69,9.0,10.0,9.56,74.92,-0.5417,0.001,-0.2267,20260327,4,主升锁仓,4,主升锁仓,1,1.0136,0.33,1.0,,0.0
600101.SH,明星电力,0.1022,10.95,10.2,11.3,10.76,74.95,-0.5158,0.0011,-0.1782,20260327,4,主升锁仓,4,主升锁仓,1,1.0177,0.33,1.0,,0.0
600901.SH,江苏金租,0.2956,6.48,4.9,6.7,6.09,74.95,-0.9625,0.0,-0.0263,20260327,4,主升锁仓,4,主升锁仓,1,1.064,0.33,1.0,,0.0
600795.SH,国电电力,0.2444,5.02,4.5,5.7,4.91,74.98,-0.8622,0.0,-0.2065,20260327,4,主升锁仓,4,主升锁仓,1,1.0224,0.33,1.0,,0.0
002594.SZ,比亚迪,0.2005,105.3,89.6,109.6,99.74,75.03,-0.7684,0.0,-0.1933,20260327,4,主升锁仓,4,主升锁仓,1,1.0557,0.33,1.0,,0.0
301089.SZ,拓新药业,0.1659,28.64,26.0,30.6,27.73,75.44,-0.7474,0.0,-0.0677,20260327,4,主升锁仓,4,主升锁仓,1,1.0328,0.33,1.0,,0.0
300191.SZ,潜能恒信,0.1967,39.52,36.0,43.6,38.63,75.46,-0.4421,0.0059,-0.4338,20260327,4,主升锁仓,4,主升锁仓,1,1.023,0.33,1.0,,0.0
603958.SH,哈森股份,0.1605,20.47,18.4,21.6,19.94,75.63,-0.7652,0.0,-0.4243,20260327,4,主升锁仓,4,主升锁仓,1,1.0266,0.33,1.0,,0.0
688157.SH,松井股份,0.2519,39.16,33.0,42.5,37.72,76.0,-0.4107,0.0122,-0.0998,20260327,4,主升锁仓,4,主升锁仓,1,1.0382,0.33,1.0,,0.0
688663.SH,新风光,0.1895,61.0,53.5,64.5,58.04,76.19,-0.8,0.0,-0.4911,20260327,4,主升锁仓,4,主升锁仓,1,1.051,0.33,1.0,,0.0
300072.SZ,海新能科,0.1418,5.71,5.0,5.8,5.64,76.36,-0.4339,0.0077,-0.2823,20260327,4,主升锁仓,4,主升锁仓,1,1.0124,0.33,1.0,,0.0
300875.SZ,捷强装备,0.1457,48.8,43.2,50.1,47.35,76.38,-0.3895,0.0164,-0.442,20260327,4,主升锁仓,4,主升锁仓,1,1.0306,0.33,1.0,,0.0
603396.SH,金辰股份,0.1342,41.18,37.8,43.2,40.24,76.7,-0.5263,0.0008,-0.5312,20260327,4,主升锁仓,4,主升锁仓,1,1.0234,0.33,1.0,,0.0
600157.SH,永泰能源,0.1058,1.97,1.8,2.0,1.89,76.75,-0.7678,0.0,-0.5317,20260327,4,主升锁仓,4,主升锁仓,1,1.0423,0.33,1.0,,0.0
600505.SH,西昌电力,0.1146,15.3,13.9,15.6,14.84,76.76,-0.7684,0.0,-0.2788,20260327,4,主升锁仓,4,主升锁仓,1,1.031,0.33,1.0,,0.0
002245.SZ,蔚蓝锂芯,0.0856,17.79,16.8,18.3,17.53,76.85,-0.8557,0.0,-0.4454,20260327,4,主升锁仓,4,主升锁仓,1,1.0148,0.33,1.0,,0.0
300715.SZ,凯伦股份,0.2362,14.05,11.6,14.8,13.55,77.01,-0.9284,0.0,-0.2632,20260327,4,主升锁仓,4,主升锁仓,1,1.0369,0.33,1.0,,0.0
002053.SZ,云南能投,0.2126,13.67,11.4,14.1,12.7,77.12,-0.7128,0.0,-0.11,20260327,4,主升锁仓,4,主升锁仓,1,1.0764,0.33,1.0,,0.0
301086.SZ,鸿富瀚,0.1526,128.28,115.2,134.1,123.88,77.68,-0.6421,0.0,-0.1042,20260327,4,主升锁仓,4,主升锁仓,1,1.0355,0.33,1.0,,0.0
605319.SH,无锡振华,0.1896,24.75,21.0,25.5,23.73,77.87,-0.7488,0.0,-0.0676,20260327,4,主升锁仓,4,主升锁仓,1,1.043,0.33,1.0,,0.0
920779.BJ,武汉蓝电,0.113,36.0,33.8,37.8,35.41,77.96,-0.3684,0.0237,-0.3087,20260327,4,主升锁仓,4,主升锁仓,1,1.0167,0.33,1.0,,0.0
600869.SH,远东股份,0.2091,14.13,12.1,14.9,13.39,78.51,-0.9579,0.0,-0.3592,20260327,4,主升锁仓,4,主升锁仓,1,1.0553,0.33,1.0,,0.0
300342.SZ,天银机电,0.1631,50.0,43.0,50.8,47.82,78.65,-0.6526,0.0,-0.1029,20260327,4,主升锁仓,4,主升锁仓,1,1.0456,0.33,1.0,,0.0
688517.SH,金冠电气,0.1302,19.13,17.2,19.6,18.43,78.89,-0.5224,0.0013,-0.1095,20260327,4,主升锁仓,4,主升锁仓,1,1.038,0.33,1.0,,0.0
603290.SH,斯达半导,0.1367,109.1,98.6,113.1,106.11,79.18,-0.6947,0.0,-0.1717,20260327,4,主升锁仓,4,主升锁仓,1,1.0282,0.33,1.0,,0.0
603227.SH,雪峰科技,0.1335,9.39,8.4,9.6,8.99,79.51,-0.577,0.0005,-0.1005,20260327,4,主升锁仓,4,主升锁仓,1,1.0445,0.33,1.0,,0.0
