ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage_quality_pass,close_vs_cost,stage_quality_chip_band_max,stage_quality_close_vs_cost_min,stage_quality_close_vs_cost_max,stage_quality_trend_change_rate_max
688450.SH,光格科技,0.2002,32.77,29.4,36.0,32.97,45.26,-0.3747,0.0212,-0.1109,20260327,3,中继收敛,3,中继收敛,1,0.9939,0.28,0.99,1.08,-0.06
920010.BJ,凯添燃气,0.1359,13.92,13.1,15.0,13.98,45.36,-0.7158,0.0,-0.2574,20260327,3,中继收敛,3,中继收敛,1,0.9957,0.28,0.99,1.08,-0.06
600938.SH,中国海油,0.1419,41.07,37.8,43.6,40.87,45.44,-0.7968,0.0,-0.2092,20260327,3,中继收敛,3,中继收敛,1,1.0049,0.28,0.99,1.08,-0.06
688355.SH,明志科技,0.2501,20.7,17.8,23.0,20.79,45.62,-0.8677,0.0,-0.1563,20260327,3,中继收敛,3,中继收敛,1,0.9957,0.28,0.99,1.08,-0.06
002539.SZ,云图控股,0.1911,14.54,13.3,16.1,14.65,45.81,-0.8421,0.0,-0.4184,20260327,3,中继收敛,3,中继收敛,1,0.9925,0.28,0.99,1.08,-0.06
688525.SH,佰维存储,0.1599,238.4,216.3,254.1,236.47,45.93,-0.5789,0.0002,-0.225,20260327,3,中继收敛,3,中继收敛,1,1.0082,0.28,0.99,1.08,-0.06
688016.SH,心脉医疗,0.1835,104.58,93.6,112.8,104.64,46.21,-0.9684,0.0,-0.1476,20260327,3,中继收敛,3,中继收敛,1,0.9994,0.28,0.99,1.08,-0.06
688200.SH,华峰测控,0.2721,268.47,234.6,308.2,270.52,46.5,-0.8842,0.0,-0.2854,20260327,3,中继收敛,3,中继收敛,1,0.9924,0.28,0.99,1.08,-0.06
601872.SH,招商轮船,0.2229,17.1,15.3,19.1,17.05,46.65,-0.8995,0.0,-0.1885,20260327,3,中继收敛,3,中继收敛,1,1.0029,0.28,0.99,1.08,-0.06
603990.SH,麦迪科技,0.0928,15.08,14.2,15.6,15.09,47.87,-0.5889,0.0003,-0.3586,20260327,3,中继收敛,3,中继收敛,1,0.9993,0.28,0.99,1.08,-0.06
300243.SZ,瑞丰高材,0.1225,13.78,13.2,14.9,13.88,48.54,-0.3579,0.0283,-0.3241,20260327,3,中继收敛,3,中继收敛,1,0.9928,0.28,0.99,1.08,-0.06
002833.SZ,弘亚数控,0.167,18.08,16.2,19.2,17.96,48.91,-0.3435,0.0392,-0.1172,20260327,3,中继收敛,3,中继收敛,1,1.0067,0.28,0.99,1.08,-0.06
600011.SH,华能国际,0.2022,7.49,6.7,8.2,7.42,49.69,-0.9706,0.0,-0.1734,20260327,3,中继收敛,3,中继收敛,1,1.0094,0.28,0.99,1.08,-0.06
600742.SH,富维股份,0.1473,10.22,9.5,11.0,10.18,49.83,-0.8694,0.0,-0.1781,20260327,3,中继收敛,3,中继收敛,1,1.0039,0.28,0.99,1.08,-0.06
688193.SH,仁度生物,0.1821,51.25,45.2,54.4,50.53,49.97,-0.836,0.0,-0.0773,20260327,3,中继收敛,3,中继收敛,1,1.0142,0.28,0.99,1.08,-0.06
688619.SH,罗普特,0.1603,14.86,13.8,16.2,14.97,50.25,-0.7562,0.0,-0.1623,20260327,3,中继收敛,3,中继收敛,1,0.9927,0.28,0.99,1.08,-0.06
600979.SH,广安爱众,0.1248,5.61,5.2,5.9,5.61,50.41,-0.6211,0.0001,-0.1337,20260327,3,中继收敛,3,中继收敛,1,1.0,0.28,0.99,1.08,-0.06
002293.SZ,罗莱生活,0.261,9.97,8.2,10.8,9.96,50.88,-0.9101,0.0,-0.077,20260327,3,中继收敛,3,中继收敛,1,1.001,0.28,0.99,1.08,-0.06
605178.SH,时空科技,0.1548,68.11,63.0,73.5,67.83,51.46,-0.9024,0.0,-0.2328,20260327,3,中继收敛,3,中继收敛,1,1.0041,0.28,0.99,1.08,-0.06
000582.SZ,北部湾港,0.2068,10.88,9.3,11.5,10.64,52.88,-0.9206,0.0,-0.1597,20260327,3,中继收敛,3,中继收敛,1,1.0226,0.28,0.99,1.08,-0.06
600080.SH,金花股份,0.142,8.6,7.8,9.0,8.45,53.58,-0.518,0.0018,-0.1489,20260327,3,中继收敛,3,中继收敛,1,1.0178,0.28,0.99,1.08,-0.06
601139.SH,深圳燃气,0.1786,7.36,6.5,7.8,7.28,53.79,-0.8042,0.0,-0.3155,20260327,3,中继收敛,3,中继收敛,1,1.011,0.28,0.99,1.08,-0.06
600756.SH,浪潮软件,0.1332,18.3,16.5,18.9,18.02,54.01,-0.7863,0.0,-0.2481,20260327,3,中继收敛,3,中继收敛,1,1.0155,0.28,0.99,1.08,-0.06
603409.SH,汇通控股,0.0951,38.18,35.7,39.3,37.87,54.11,-0.8737,0.0,-0.2076,20260327,3,中继收敛,3,中继收敛,1,1.0082,0.28,0.99,1.08,-0.06
002575.SZ,群兴玩具,0.0911,8.9,8.3,9.1,8.78,55.06,-0.4737,0.003,-0.1071,20260327,3,中继收敛,3,中继收敛,1,1.0137,0.28,0.99,1.08,-0.06
001400.SZ,江顺科技,0.1499,149.18,133.2,155.2,146.81,55.23,-0.3895,0.0164,-0.2913,20260327,3,中继收敛,3,中继收敛,1,1.0161,0.28,0.99,1.08,-0.06
002950.SZ,奥美医疗,0.1711,11.69,10.4,12.4,11.69,55.42,-0.3492,0.0321,-0.1731,20260327,3,中继收敛,3,中继收敛,1,1.0,0.28,0.99,1.08,-0.06
600925.SH,苏能股份,0.0828,4.87,4.6,5.0,4.83,55.57,-0.9148,0.0,-0.3375,20260327,3,中继收敛,3,中继收敛,1,1.0083,0.28,0.99,1.08,-0.06
600478.SH,科力远,0.1862,7.54,6.9,8.3,7.52,55.85,-0.4302,0.0091,-0.1064,20260327,3,中继收敛,3,中继收敛,1,1.0027,0.28,0.99,1.08,-0.06
603139.SH,康惠股份,0.1971,27.08,23.0,28.2,26.38,56.25,-0.3684,0.0237,-0.2017,20260327,3,中继收敛,3,中继收敛,1,1.0265,0.28,0.99,1.08,-0.06
301560.SZ,众捷汽车,0.0984,38.85,36.3,40.1,38.62,56.4,-0.4,0.0135,-0.1354,20260327,3,中继收敛,3,中继收敛,1,1.006,0.28,0.99,1.08,-0.06
000755.SZ,山西高速,0.1901,5.3,4.8,5.8,5.26,56.65,-0.8143,0.0,-0.1714,20260327,3,中继收敛,3,中继收敛,1,1.0076,0.28,0.99,1.08,-0.06
300511.SZ,雪榕生物,0.1709,7.06,6.4,7.6,7.02,58.5,-0.6809,0.0,-0.1661,20260327,3,中继收敛,3,中继收敛,1,1.0057,0.28,0.99,1.08,-0.06
002487.SZ,大金重工,0.2058,74.16,64.0,79.0,72.9,58.84,-0.8285,0.0,-0.2541,20260327,3,中继收敛,3,中继收敛,1,1.0173,0.28,0.99,1.08,-0.06
300174.SZ,元力股份,0.0911,16.69,15.6,17.1,16.47,59.5,-0.5079,0.0018,-0.1677,20260327,3,中继收敛,3,中继收敛,1,1.0134,0.28,0.99,1.08,-0.06
000049.SZ,德赛电池,0.1027,27.42,25.6,28.4,27.27,59.67,-0.3852,0.0178,-0.1343,20260327,3,中继收敛,3,中继收敛,1,1.0055,0.28,0.99,1.08,-0.06
301459.SZ,丰茂股份,0.2092,38.21,35.4,43.4,38.24,59.67,-0.5474,0.0005,-0.101,20260327,3,中继收敛,3,中继收敛,1,0.9992,0.28,0.99,1.08,-0.06
