ts_code,strategy,cost_range_start,cost_range_end,cost_range_change,cost_range_change_rate,cost_range_slope,cost_range_percent,winner_rate_start,winner_rate_end,winner_rate_change,winner_rate_change_rate,winner_rate_slope,weight_avg_start,weight_avg_end,weight_avg_change,weight_avg_change_rate,weight_avg_slope,weight_avg_diff_percent,start_date,end_date,latest_price,stock_name
000999.SZ,平衡型,5.199999999999996,4.799999999999997,-0.3999999999999986,-7.692307692307672,-0.03157894736842095,14.814814814814806,15.46,56.85,41.39,267.72315653298836,2.627719298245614,29.35,29.16,-0.19000000000000128,-0.6473594548552003,-0.010964912280701785,11.111111111111107,20260122,20260225,32.4,华润三九
600076.SH,平衡型,1.4999999999999996,0.8000000000000003,-0.6999999999999993,-46.666666666666636,-0.037368421052631544,18.181818181818183,31.07,55.85,24.78,79.75539105246219,0.5098771929824562,4.07,4.07,0.0,0.0,-0.002175438596491233,8.10810810810811,20260122,20260225,4.4,康欣新材
600089.SH,平衡型,6.399999999999999,2.8000000000000007,-3.599999999999998,-56.24999999999998,-0.15824561403508772,9.27152317880795,23.01,95.68,72.67,315.819209039548,3.234701754385965,29.5,28.59,-0.9100000000000001,-3.084745762711865,-0.0590877192982456,5.631339629240991,20260122,20260225,30.2,特变电工
600228.SH,平衡型,2.5999999999999996,1.4000000000000004,-1.1999999999999993,-46.15384615384613,-0.06894736842105262,21.875000000000007,41.7,72.28,30.58,73.33333333333333,0.6038771929824561,5.63,5.82,0.1900000000000004,3.3747779751332216,0.014456140350877196,9.965635738831615,20260122,20260225,6.4,*ST返利
600292.SH,平衡型,3.8000000000000007,3.3999999999999986,-0.40000000000000213,-10.526315789473738,-0.03719298245614043,20.987654320987648,63.75,91.4,27.650000000000006,43.37254901960785,1.5838947368421055,13.58,14.63,1.0500000000000007,7.731958762886604,0.04914035087719299,10.731373889268616,20260122,20260225,16.2,电投水电
600303.SH,平衡型,0.6999999999999997,0.2999999999999998,-0.3999999999999999,-57.14285714285715,-0.027017543859649107,8.571428571428566,75.72,95.05,19.33,25.528262017960905,2.630473684210527,3.39,3.41,0.020000000000000018,0.5899705014749268,0.0006842105263157889,2.63929618768328,20260122,20260225,3.5,曙光股份
600329.SH,平衡型,13.5,10.0,-3.5,-25.925925925925924,-0.2114035087719298,21.73913043478261,26.74,74.17,47.43000000000001,177.37471952131642,2.8885789473684205,42.61,42.68,0.07000000000000028,0.164280685285145,0.00614035087719292,7.7788191190253055,20260122,20260225,46.0,达仁堂
600383.SH,平衡型,1.0999999999999996,0.6000000000000001,-0.49999999999999956,-45.45454545454543,-0.03122807017543858,16.216216216216218,46.67,83.97,37.3,79.92286265266766,1.7714035087719298,3.35,3.38,0.029999999999999805,0.8955223880596956,0.002578947368421056,9.467455621301783,20260122,20260225,3.7,金地集团
600505.SH,平衡型,2.0,1.6999999999999993,-0.3000000000000007,-15.000000000000036,-0.025087719298245638,11.643835616438352,43.78,90.53,46.75,106.78391959798994,1.5341052631578946,13.76,13.98,0.22000000000000064,1.5988372093023302,0.008578947368421082,4.4349070100143,20260122,20260225,14.6,西昌电力
600508.SH,平衡型,2.6999999999999993,2.1000000000000014,-0.5999999999999979,-22.22222222222215,-0.027368421052631483,15.217391304347835,54.24,72.77,18.529999999999994,34.16297935103243,0.47692982456140376,12.7,12.62,-0.08000000000000007,-0.6299212598425202,-0.00464912280701752,9.350237717908094,20260122,20260225,13.8,上海能源
600520.SH,平衡型,5.600000000000001,4.0,-1.6000000000000014,-28.57142857142859,-0.10245614035087726,13.333333333333334,40.13,62.08,21.949999999999996,54.697233989534,1.592017543859649,28.52,28.06,-0.46000000000000085,-1.6129032258064546,-0.028736842105263206,6.913756236635786,20260122,20260225,30.0,三佳科技
600550.SH,平衡型,4.4,2.599999999999998,-1.8000000000000025,-40.90909090909096,-0.12280701754385982,14.942528735632173,19.05,92.66,73.61,386.4041994750656,2.5795087719298246,15.36,16.04,0.6799999999999997,4.427083333333331,0.03363157894736839,8.4788029925187,20260122,20260225,17.4,保变电气
600644.SH,平衡型,2.1999999999999993,0.9000000000000004,-1.299999999999999,-59.09090909090906,-0.06666666666666662,7.6271186440677985,39.65,81.5,41.85,105.54854981084489,2.3085087719298247,11.32,11.31,-0.009999999999999787,-0.0883392226148391,-0.003298245614035064,4.3324491600353685,20260122,20260225,11.8,乐山电力
600671.SH,平衡型,5.399999999999999,4.800000000000001,-0.5999999999999979,-11.111111111111075,-0.05403508771929823,20.689655172413797,29.07,73.58,44.51,153.11317509459923,3.6993508771929817,20.45,20.87,0.4200000000000017,2.053789731051353,-0.005964912280701777,11.164350742692852,20260122,20260225,23.2,天目药业
600690.SH,平衡型,4.5,3.900000000000002,-0.5999999999999979,-13.333333333333286,-0.027368421052631424,14.130434782608702,51.55,70.54,18.99000000000001,36.83802133850632,2.0077368421052633,25.85,25.76,-0.08999999999999986,-0.34816247582204973,-0.005508771929824525,7.142857142857142,20260122,20260225,27.6,海尔智家
600732.SH,平衡型,3.599999999999998,2.0,-1.5999999999999979,-44.444444444444414,-0.09228070175438578,13.157894736842104,23.79,58.71,34.92,146.7843631778058,0.3300526315789475,14.09,14.38,0.2900000000000009,2.0581973030518164,0.015298245614035129,5.702364394993036,20260122,20260225,15.2,爱旭股份
600769.SH,平衡型,2.1999999999999993,1.6999999999999993,-0.5,-22.727272727272734,-0.02298245614035082,12.408759124087588,25.39,75.85,50.459999999999994,198.73966128397004,3.1277894736842105,12.96,12.8,-0.16000000000000014,-1.234567901234569,-0.01140350877192985,7.031249999999989,20260122,20260225,13.7,祥龙电业
600775.SH,平衡型,3.5999999999999996,1.299999999999999,-2.3000000000000007,-63.888888888888914,-0.07824561403508784,8.609271523178801,60.58,92.41,31.83,52.542093100033014,1.9475263157894735,14.97,14.47,-0.5,-3.34001336005344,-0.03498245614035087,4.35383552176917,20260122,20260225,15.1,南京熊猫
