market,code,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2
1,601963,1882869375.0,25,1,20260204,20210205,3474590000.0,19660000.0,44280720000.0,106344740000.0,0.0,1579020781.25,13999.99976158142,10227496960000.0,0.0,33120510000.0,7831550000.0,36303.0,0.0,28883220000.0,77343820000.0,631135840000.0,117401610000.0,61225770000.0,0.0,56175840000.0,23405790000.0,543682240000.0,83368140000.0,0.0,56175960000.0,51958330000.0,48791810000.0,288017760000.0,16.149999618530273,9.0
1,601965,998405703.125,25,7,20260116,20120611,1003054921.875,22740000.0,6586095000.0,30592505000.0,0.0,0.0,6700.000166893005,128670150000.0,58251030000.0,32615920000.0,7466888125.0,21586.0,18164025000.0,18051370000.0,17957325000.0,74945690000.0,30243937500.0,16287280000.0,26671785000.0,8569550000.0,45547001.953125,390515000.0,-4151290000.0,3971260000.0,8587295000.0,7000068750.0,6660713125.0,42914275000.0,7.809999942779541,9.0
1,601966,1463502656.25,15,7,20251028,20160706,1463502656.25,12290000.0,17117951250.0,159488910000.0,0.0,0.0,8000.00011920929,476724160000.0,153441980000.0,236170220000.0,10288046875.0,87546.0,184938080000.0,84053994.140625,87114040000.0,232666840000.0,181608020000.0,151867360000.0,50080440000.0,13081865000.0,517518984.375,13701990000.0,-3483431875.0,55283845000.0,13247943750.0,11672302500.0,11673142500.0,113827200000.0,15.89799976348877,9.0
1,601968,1275779531.25,16,46,20251030,20150611,1275779531.25,12330000.0,1569471718.75,61604250000.0,0.0,0.0,1400.0000059604645,96538680000.0,42182270000.0,40356855000.0,5072130000.0,32935.0,47598405000.0,1580000937.5,22109130000.0,45658525000.0,65810420000.0,60918645000.0,20430625000.0,2429627968.75,-242046992.1875,4108835937.5,-3580028125.0,10218718750.0,2435932968.75,1918050000.0,1757307031.25,10865280000.0,3.5789999961853027,9.0
1,601969,1982356250.0,30,3,20251030,20141209,1998248281.25,11080000.0,5464725000.0,31718005000.0,0.0,0.0,1599.9999642372131,143160440000.0,46170495000.0,21595067500.0,15282687500.0,50626.0,40966427500.0,7006282500.0,36532927500.0,70424120000.0,33598410000.0,25496000000.0,4597623750.0,3892778125.0,149390000.0,12789430000.0,8118961250.0,7129025000.0,3893646250.0,2988925937.5,3123565937.5,9126846250.0,3.5239999294281006,9.0
1,601975,4680344687.5,26,8,20260202,20190108,4680344687.5,16550000.0,16558636250.0,50080745000.0,0.0,0.0,2000.0000298023224,131891400000.0,60596890000.0,60777475000.0,127685996.09375,107743.0,10589602500.0,1620148125.0,40527877500.0,114781460000.0,42684205000.0,30731387500.0,2434053906.25,11279551250.0,0.0,15064248750.0,5199525000.0,3566485937.5,11407588750.0,9563515625.0,9470557500.0,27772800000.0,2.390000104904175,9.0
1,601985,18883285000.0,7,16,20260202,20150610,20568002500.0,13440000.0,89335440000.0,569857960000.0,0.0,0.0,3899.9998569488525,7207169280000.0,884214080000.0,3497566400000.0,76406660000.0,503291.0,1003687360000.0,1072460960000.0,419022640000.0,1165749680000.0,616346760000.0,345273080000.0,254168400000.0,198418180000.0,1756228906.25,302663300000.0,-9367260000.0,346088960000.0,198471820000.0,154968310000.0,80024410000.0,463708360000.0,5.61899995803833,9.0
1,601988,210765520000.0,7,1,20251029,20060705,322212420000.0,19660000.0,1757630080000.0,4783480000000.0,0.0,83622275000.0,5500.00011920929,375501619200000.0,0.0,2242620000000.0,301220000000.0,678883.0,0.0,1436320000000.0,2723110080000.0,30936819200000.0,4912040000000.0,2663160000000.0,0.0,2248880000000.0,390740000000.0,512260000000.0,-4098420480000.0,0.0,2259670080000.0,1895889920000.0,1776600000000.0,13182379520000.0,8.29800033569336,9.0
1,601990,3686360937.5,26,1,20251230,20180613,4399627812.5,19670000.0,6960459375.0,20068527500.0,0.0,0.0,2500.0,835420080000.0,0.0,7826709375.0,528449023.4375,108068.0,0.0,3532000000.0,80979375000.0,179212340000.0,22620952500.0,11140822500.0,0.0,11480127500.0,10909347500.0,-33295862500.0,29184615000.0,0.0,11465171250.0,9175346250.0,9130978125.0,30023887500.0,4.861000061035156,9.0
1,601991,12396088750.0,7,16,20251029,20061220,18506710000.0,13440000.0,44310410000.0,909999600000.0,0.0,6110621250.0,3000.0001192092896,3239994240000.0,438354760000.0,2116339040000.0,49131680000.0,196377.0,856914720000.0,185634140000.0,61482320000.0,908899520000.0,893448000000.0,720030560000.0,204112580000.0,116338060000.0,15886690000.0,297230640000.0,29900800000.0,35318400000.0,114460710000.0,94205210000.0,67121230000.0,-68720070000.0,1.8969999551773071,9.0
