symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,ma5_ma10_diff_pct,signals,score,reason
603105,芯能科技,1,20260302,10.39,-1.423,10.344,10.341,10.2855,0.029,强势回调买 / 支撑确认买,5.6634,强势回调买；支撑确认买
603816,顾家家居,1,20260302,35.75,-0.028,35.786,35.962,35.2055,-0.4894,强势回调买 / 支撑确认买,5.6605,强势回调买；支撑确认买
600035,楚天高速,1,20260302,4.02,-0.741,4.006,3.979,3.9715,0.6786,强势回调买 / 支撑确认买,5.6509,强势回调买；支撑确认买
000404,长虹华意,0,20260302,7.23,-0.687,7.244,7.21,7.1235,0.4716,强势回调买 / 支撑确认买,5.643,强势回调买；支撑确认买
688202,美迪西,1,20260302,69.51,-0.983,68.206,67.688,64.76,0.7653,强势回调买 / 金叉跟进买,5.6264,强势回调买；金叉跟进买
600527,江南高纤,1,20260302,2.33,-0.851,2.334,2.316,2.2905,0.7772,强势回调买 / 支撑确认买,5.6037,强势回调买；支撑确认买
002936,郑州银行,0,20260302,1.94,0.518,1.928,1.926,1.9165,0.1038,强势回调买 / 支撑确认买,5.568,强势回调买；支撑确认买
300490,华自科技,0,20260302,16.93,-1.34,16.836,17.095,16.6855,-1.5151,强势回调买 / 支撑确认买,5.5394,强势回调买；支撑确认买
601368,绿城水务,1,20260302,5.36,-1.289,5.342,5.278,5.2645,1.2126,强势回调买 / 支撑确认买,5.5361,强势回调买；支撑确认买
688533,上声电子,1,20260302,33.6,-1.118,33.542,32.999,32.9215,1.6455,强势回调买 / 支撑确认买,5.5359,强势回调买；支撑确认买
301387,光大同创,0,20260302,61.25,-0.922,61.0,61.365,60.2125,-0.5948,强势回调买 / 支撑确认买,5.5324,强势回调买；支撑确认买
601169,北京银行,1,20260302,5.43,0.742,5.388,5.411,5.366,-0.4251,强势回调买 / 支撑确认买,5.5276,强势回调买；支撑确认买
601158,重庆水务,1,20260302,4.61,0.217,4.576,4.559,4.553,0.3729,强势回调买 / 支撑确认买,5.5267,强势回调买；支撑确认买
301206,三元生物,0,20260302,28.25,-1.051,28.302,27.826,27.668,1.7106,强势回调买 / 支撑确认买,5.5242,强势回调买；支撑确认买
301040,中环海陆,0,20260302,38.9,1.806,38.028,37.635,35.595,1.0442,强势回调买 / 金叉跟进买,5.5121,强势回调买；金叉跟进买
300383,光环新网,0,20260302,16.46,-5.673,16.366,17.009,16.2025,-3.7804,强势回调买 / 支撑确认买,5.5098,强势回调买；支撑确认买
002382,蓝帆医疗,0,20260302,6.05,-0.493,6.012,5.967,5.9575,0.7541,强势回调买 / 支撑确认买,5.4998,强势回调买；支撑确认买
601860,紫金银行,1,20260302,2.82,1.075,2.788,2.801,2.797,-0.4641,强势回调买 / 支撑确认买,5.4912,强势回调买；支撑确认买
600997,开滦股份,1,20260302,6.48,1.567,6.33,6.267,6.214,1.0053,强势回调买 / 金叉跟进买,5.4891,强势回调买；金叉跟进买
001965,招商公路,0,20260302,9.76,0.722,9.68,9.695,9.6305,-0.1547,强势回调买 / 支撑确认买,5.4831,强势回调买；支撑确认买
603733,仙鹤股份,1,20260302,24.96,0.645,24.858,24.74,24.452,0.477,强势回调买 / 支撑确认买,5.4614,强势回调买；支撑确认买
002458,益生股份,0,20260302,9.89,-1.69,9.868,9.753,9.659,1.1791,强势回调买 / 支撑确认买,5.4548,强势回调买；支撑确认买
301577,美信科技,0,20260302,63.2,1.363,62.786,62.943,62.0835,-0.2494,强势回调买 / 支撑确认买,5.4425,强势回调买；支撑确认买
600308,华泰股份,1,20260302,4.21,-0.237,4.21,4.141,4.095,1.6663,强势回调买 / 支撑确认买,5.4383,强势回调买；支撑确认买
688501,青达环保,1,20260302,28.04,-2.266,27.778,28.047,27.646,-0.9591,强势回调买 / 支撑确认买,5.432,强势回调买；支撑确认买
300919,中伟新材,0,20260302,56.11,-2.23,56.19,54.867,54.6395,2.4113,强势回调买 / 支撑确认买,5.419,强势回调买；支撑确认买
605005,合兴股份,1,20260302,19.58,0.41,19.462,19.305,19.1965,0.8133,强势回调买 / 支撑确认买,5.4186,强势回调买；支撑确认买
000507,珠海港,0,20260302,5.59,-0.357,5.552,5.501,5.4835,0.9271,强势回调买 / 支撑确认买,5.4062,强势回调买；支撑确认买
605222,起帆电缆,1,20260302,21.8,-0.819,21.732,21.342,21.2585,1.8274,强势回调买 / 支撑确认买,5.3967,强势回调买；支撑确认买
600425,青松建化,1,20260302,4.67,0.43,4.64,4.583,4.576,1.2437,强势回调买 / 支撑确认买,5.3952,强势回调买；支撑确认买
600919,江苏银行,1,20260302,10.44,0.87,10.364,10.404,10.2425,-0.3845,强势回调买 / 支撑确认买,5.3944,强势回调买；支撑确认买
002102,能特科技,0,20260302,3.55,0.282,3.524,3.496,3.483,0.8009,强势回调买 / 支撑确认买,5.3939,强势回调买；支撑确认买
300316,晶盛机电,0,20260302,56.08,0.61,54.562,54.191,52.389,0.6846,强势回调买 / 金叉跟进买,5.3654,强势回调买；金叉跟进买
300962,中金辐照,0,20260302,17.8,1.136,17.63,17.572,17.4975,0.3301,强势回调买 / 支撑确认买,5.365,强势回调买；支撑确认买
000429,粤高速Ａ,0,20260302,12.28,0.409,12.112,12.179,12.1445,-0.5501,强势回调买 / 支撑确认买,5.3607,强势回调买；支撑确认买
600491,龙元建设,1,20260302,3.22,-1.529,3.192,3.19,3.157,0.0627,强势回调买 / 支撑确认买,5.3377,强势回调买；支撑确认买
002078,太阳纸业,0,20260302,17.24,-0.116,17.25,17.036,16.7005,1.2562,强势回调买 / 支撑确认买,5.3365,强势回调买；支撑确认买
000999,华润三九,0,20260302,29.17,1.004,28.878,29.023,28.6365,-0.4996,强势回调买 / 支撑确认买,5.3241,强势回调买；支撑确认买
600926,杭州银行,1,20260302,16.47,1.354,16.296,16.342,16.1815,-0.2815,强势回调买 / 支撑确认买,5.3231,强势回调买；支撑确认买
000401,金隅冀东,0,20260302,5.21,0.774,5.162,5.163,5.1055,-0.0194,强势回调买 / 支撑确认买,5.3117,强势回调买；支撑确认买
601006,大秦铁路,1,20260302,5.15,0.98,5.092,5.084,5.062,0.1574,强势回调买 / 支撑确认买,5.3106,强势回调买；支撑确认买
601916,浙商银行,1,20260302,3.01,1.007,2.978,2.978,2.9555,0.0,强势回调买 / 支撑确认买,5.3088,强势回调买；支撑确认买
002318,久立特材,0,20260302,35.09,1.534,34.972,34.772,34.076,0.5752,强势回调买 / 支撑确认买,5.3036,强势回调买；支撑确认买
000927,中国铁物,0,20260302,2.95,-0.338,2.928,2.891,2.882,1.2798,强势回调买 / 支撑确认买,5.3027,强势回调买；支撑确认买
000900,现代投资,0,20260302,4.35,-0.229,4.306,4.268,4.2565,0.8903,强势回调买 / 支撑确认买,5.2541,强势回调买；支撑确认买
600901,江苏金租,1,20260302,6.46,0.311,6.38,6.406,6.3355,-0.4059,强势回调买 / 支撑确认买,5.2308,强势回调买；支撑确认买
688592,司南导航,1,20260302,49.51,0.794,49.012,48.948,48.342,0.1308,强势回调买 / 支撑确认买,5.212,强势回调买；支撑确认买
600815,厦工股份,1,20260302,3.29,0.612,3.262,3.233,3.199,0.897,强势回调买 / 支撑确认买,5.1736,强势回调买；支撑确认买
688448,磁谷科技,1,20260302,66.0,-0.677,65.262,66.105,64.4285,-1.2752,强势回调买 / 支撑确认买,5.1729,强势回调买；支撑确认买
002135,东南网架,0,20260302,6.4,-0.929,6.39,6.299,6.132,1.4447,强势回调买 / 支撑确认买,5.1531,强势回调买；支撑确认买
600231,凌钢股份,1,20260302,2.44,-1.613,2.42,2.37,2.367,2.1097,强势回调买 / 支撑确认买,5.1353,强势回调买；支撑确认买
