symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,signals,score,reason
003017,大洋生物,0,20260303,33.97,-1.135,33.792,33.356,32.6985,强势回调买,3.0643,强势回调买
600075,新疆天业,1,20260303,6.65,-4.728,6.62,6.572,6.3155,强势回调买,3.064,强势回调买
600742,富维股份,1,20260303,10.82,-1.904,10.87,10.476,10.0915,强势回调买,3.062,强势回调买
601869,长飞光纤,1,20260303,236.0,-2.648,234.896,227.934,192.621,强势回调买,3.059,强势回调买
002772,众兴菌业,0,20260303,18.14,0.166,18.054,17.578,17.243,强势回调买,3.0571,强势回调买
301197,工大科雅,0,20260303,24.17,-3.782,24.286,22.977,22.123,强势回调买,3.0567,强势回调买
605099,共创草坪,1,20260303,45.35,0.89,45.126,43.234,42.207,强势回调买,3.0511,强势回调买
300557,理工光科,0,20260303,41.57,-6.12,41.364,38.862,37.1755,强势回调买,3.0506,强势回调买
300257,开山股份,0,20260303,23.88,-1.118,24.0,21.486,19.503,强势回调买,3.05,强势回调买
002008,大族激光,0,20260303,70.45,-5.588,70.094,61.69,55.712,强势回调买,3.0476,强势回调买
605589,圣泉集团,1,20260303,34.37,-3.968,34.546,33.201,31.5035,强势回调买,3.0472,强势回调买
002271,东方雨虹,0,20260303,17.8,-5.82,18.316,17.919,17.7005,支撑确认买,3.0424,支撑确认买
300105,龙源技术,0,20260303,7.61,-2.311,7.81,7.672,7.538,支撑确认买,3.0407,支撑确认买
002851,麦格米特,0,20260303,126.96,-4.007,125.55,121.936,123.123,强势回调买,3.0398,强势回调买
600791,京能置业,1,20260303,8.16,-1.568,8.204,7.601,6.9595,强势回调买,3.0391,强势回调买
002733,雄韬股份,0,20260303,22.35,-3.995,22.23,21.049,20.5615,强势回调买,3.0381,强势回调买
600406,国电南瑞,1,20260303,27.7,-2.224,27.55,26.877,26.1645,强势回调买,3.0367,强势回调买
600516,方大炭素,1,20260303,6.23,-4.448,6.196,5.946,5.8645,强势回调买,3.0354,强势回调买
603938,三孚股份,1,20260303,28.17,-3.692,28.016,27.097,26.468,强势回调买,3.0351,强势回调买
300304,云意电气,0,20260303,14.4,-1.235,14.48,13.964,13.4945,强势回调买,3.0343,强势回调买
603871,嘉友国际,1,20260303,15.5,-1.899,15.414,14.804,14.227,强势回调买,3.0326,强势回调买
002615,哈尔斯,0,20260303,9.25,-1.386,9.198,9.175,8.874,强势回调买,3.0304,强势回调买
601006,大秦铁路,1,20260303,5.2,0.971,5.122,5.095,5.07,强势回调买,3.0303,强势回调买
002573,清新环境,0,20260303,4.03,0.75,3.99,3.926,3.8995,强势回调买,3.0299,强势回调买
000928,中钢国际,0,20260303,7.07,0.569,7.0,6.854,6.84,强势回调买,3.0275,强势回调买
301568,思泰克,0,20260303,54.4,-1.36,54.716,52.685,51.13,强势回调买,3.0267,强势回调买
601778,晶科科技,1,20260303,4.53,-1.522,4.632,4.549,4.46,支撑确认买,3.0255,支撑确认买
002831,裕同科技,0,20260303,31.68,-0.534,31.496,31.586,30.2225,强势回调买,3.0247,强势回调买
600511,国药股份,1,20260303,29.95,0.605,29.5,29.283,29.194,强势回调买,3.0245,强势回调买
603282,亚光股份,1,20260303,22.7,-1.561,22.568,22.095,21.7055,强势回调买,3.0245,强势回调买
600309,万华化学,1,20260303,91.09,-3.425,91.628,89.32,87.329,强势回调买,3.0239,强势回调买
600032,浙江新能,1,20260303,8.31,-0.835,8.248,8.08,8.009,强势回调买,3.0228,强势回调买
601009,南京银行,1,20260303,11.37,0.442,11.244,11.285,11.0165,强势回调买,3.0221,强势回调买
600015,华夏银行,1,20260303,6.79,0.147,6.716,6.697,6.5765,强势回调买,3.0202,强势回调买
002636,金安国纪,0,20260303,26.96,-1.137,27.124,26.445,25.59,强势回调买,3.0186,强势回调买
600295,鄂尔多斯,1,20260303,17.18,-2.22,17.076,16.443,15.802,强势回调买,3.0173,强势回调买
603227,雪峰科技,1,20260303,8.99,-0.111,8.89,8.763,8.7075,强势回调买,3.0137,强势回调买
600995,南网储能,1,20260303,14.52,-2.941,14.612,14.13,13.932,强势回调买,3.0111,强势回调买
000545,金浦钛业,0,20260303,3.47,-0.287,3.448,3.218,3.097,强势回调买,3.0086,强势回调买
