symbol,name,industry,sum_pct,drop_pct,desc_ratio,low_pos_ratio,last_pct_chg,last_close,min_low,near_bottom,vol_ratio,avg_amount_yi,consec_days,window_days,trade_date,reason,ts_code
688255,凯尔达,机械基件,-1.7,-11.58,0.58,0.84,-2.18,30.01,29.65,0,0.56,0.5,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.58% 触底=0,688255.SH
600776,东方通信,通信设备,-1.72,-11.56,0.58,0.84,-2.64,16.6,16.03,0,0.73,3.74,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.56% 触底=0,600776.SH
688392,骄成超声,专用机械,-5.98,-11.54,0.58,0.84,-1.36,116.73,112.49,0,0.59,1.76,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.54% 触底=0,688392.SH
300582,英飞特,元器件,-4.34,-11.52,0.68,0.68,-1.95,16.13,15.21,0,0.76,1.23,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.52% 触底=0,300582.SZ
688426,康为世纪,生物制药,0.75,-11.47,0.68,0.84,-1.64,22.78,22.22,0,0.72,0.26,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.47% 触底=0,688426.SH
301517,陕西华达,元器件,-4.38,-11.44,0.58,0.68,-2.85,58.23,57.62,0,0.65,1.99,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.44% 触底=0,301517.SZ
920765,美之高,家居用品,-1.26,-11.4,0.79,1.0,-1.15,17.17,17.06,0,0.46,0.13,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.4% 触底=0,920765.BJ
301360,荣旗科技,专用机械,-7.5,-11.36,0.53,1.0,-6.34,72.41,71.7,0,1.19,1.3,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.36% 触底=0,301360.SZ
000523,红棉股份,食品,1.44,-11.35,0.63,0.68,-1.61,3.67,3.52,0,0.31,1.09,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.35% 触底=0,000523.SZ
300740,水羊股份,日用化工,-9.72,-11.34,0.68,1.0,-3.38,20.88,20.82,0,0.77,2.55,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.34% 触底=0,300740.SZ
920579,机科股份,机械基件,-6.39,-11.31,0.53,1.0,-3.16,20.85,20.76,0,1.73,0.29,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.31% 触底=0,920579.BJ
688182,灿勤科技,通信设备,-3.15,-11.19,0.63,0.84,-2.86,29.22,28.15,0,0.68,1.19,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.19% 触底=0,688182.SH
920578,巨能股份,专用机械,-4.43,-11.17,0.58,0.84,-4.08,21.4,21.0,0,1.45,0.26,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.17% 触底=0,920578.BJ
