ts_code,name,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate,volume_ratio,total_mv,circ_mv,free_share,float_share,trade_date_mf,mf_net_amount,mf_net_amount_rate,mf_buy_elg_amount,mf_buy_elg_amount_rate,mf_buy_lg_amount,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
002792.SZ,通宇通讯,20260302,20260227,2026-03-02 16:33:14,20260227,13.0023,1.12,2512317.5999,1620206.2157,28184.0546,33782.4482,20260227,10576.52,5.01,9254.86,4.39,1321.67,0.63,20260302,52.76,43.16,14:59:42.202,49.45,47.96,3.1067556296914134,50.35,47.05,0.7272727272727281,0.001,2.0222446916072823,4.458398017524356,49.45,49.46,236098.96999999997,52956.01,4775.0,1070.0,551507.0,2711973632.0,49.1738750732085,0.5583921674246781,285431.0,266076.0,0.5175473747386706,moneyflow_dc,97.22,True,True,True,True,False,BUY
688390.SH,固德威,20260302,20260227,2026-03-02 16:33:14,20260227,6.4315,2.26,2116499.2798,2116499.2798,16279.6213,24299.6473,20260227,2734.63,2.04,1958.09,1.46,776.54,0.58,20260302,104.52,69.68,15:29:10.080,91.21,87.1,4.718714121699196,92.97,84.82,0.7840490797546007,-0.0008,1.096371011951005,3.7793372886691183,91.21,91.22,18969.93,5019.38,208.0,55.0,168480.0,1522600192.0,90.3727559354226,0.9179301223302168,90777.0,77704.0,0.5387998575498576,moneyflow_dc,96.84,True,True,True,True,False,BUY
605098.SH,行动教育,20260302,20260227,2026-03-02 16:33:14,20260227,0.9264,0.72,556664.1348,556664.1348,4897.5398,11925.11,20260227,-391.65,-7.63,54.27,1.06,-445.91,-8.69,20260302,51.35,42.01,14:59:43.876,47.8,46.68,2.399314481576687,48.2,46.05,0.8139534883720909,0.0004,2.0920502092060915,5.914748217272646,47.8,47.81,10749.7,1817.4400000000003,225.0,38.0,19449.0,92416744.0,47.5174785336007,0.5910490928855548,10367.0,9082.0,0.5330351174867602,moneyflow_dc,96.78,True,True,True,True,False,BUY
600066.SH,宇通客车,20260302,20260227,2026-03-02 16:33:14,20260227,0.8784,1.22,6573185.5531,6573185.5531,129175.5584,221393.9223,20260227,3546.01,6.16,1735.96,3.02,1810.05,3.15,20260302,32.66,26.72,14:59:50.190,30.26,29.69,1.9198383294038404,30.38,29.27,0.8918918918918941,-0.0002,3.304692663581629,4.451970727786234,30.26,30.27,48960.369999999995,10997.46,1619.0,363.0,206770.0,623447488.0,30.151738066450644,0.3577724175457949,102248.0,104523.0,0.49450113652850997,moneyflow_dc,96.45,True,True,True,True,False,BUY
301050.SZ,雷电微力,20260302,20260227,2026-03-02 16:33:14,20260227,4.3682,1.31,1369308.2152,1165215.424,16807.4482,21036.5666,20260227,1276.88,2.51,92.68,0.18,1184.2,2.33,20260302,66.47,44.31,15:29:24.846,58.6,55.39,5.79526990431486,58.87,55.77,0.9129032258064528,0.0009,1.7064846416378856,6.418465780469859,58.6,58.61,141483.91,22043.26,2415.0,376.0,255123.0,1471462400.0,57.67658737158155,1.5757894682908773,130184.0,124939.0,0.5102793554481564,moneyflow_dc,96.43,True,True,True,True,False,BUY
605389.SH,长龄液压,20260302,20260227,2026-03-02 16:33:14,20260227,0.7403,0.9,1068693.7982,1010690.5589,3394.466,13626.676,20260227,337.86,4.58,-42.9,-0.58,380.76,5.16,20260302,81.59,66.75,14:59:34.404,75.11,74.17,1.2673587703923388,75.39,72.8,0.8918918918918916,-0.0015,1.3313806417261504,2.1971904712614783,75.11,75.12,7429.469999999999,3381.35,99.0,45.0,13205.0,98208176.0,74.37196213555471,0.9826093255828637,6848.0,6358.0,0.5185914426353654,moneyflow_dc,96.25,True,True,True,True,False,BUY
601020.SH,华钰矿业,20260302,20260227,2026-03-02 16:33:14,20260227,7.4299,1.58,3174903.3107,3174903.3107,62282.7618,81996.4698,20260227,11176.81,4.89,4848.89,2.12,6327.93,2.77,20260302,42.59,34.85,14:59:45.712,40.7,38.72,5.113636363636374,41.54,37.85,0.7723577235772366,0.0007000000000000001,2.457002457001968,4.218309601112303,40.7,40.71,146205.05000000002,34659.630000000005,3593.0,851.0,814724.0,3211239424.0,39.415058645627234,3.157104064797959,408508.0,406216.0,0.5014066113186797,moneyflow_dc,96.02,True,True,True,True,False,BUY
002532.SZ,天山铝业,20260302,20260227,2026-03-02 16:33:14,20260227,1.1427,0.81,8178979.0123,7256817.1177,293123.1139,410685.7452,20260227,5687.33,6.81,1139.41,1.37,4547.91,5.45,20260302,19.44,15.9,14:59:53.369,18.43,17.67,4.3010752688171925,18.59,17.57,0.8431372549019606,-0.0026,5.425935973954427,4.202408437468793,18.42,18.43,49236.719999999994,11716.31,2676.0,635.0,801252.0,1452930816.0,18.133256653337526,1.6101103996878678,450392.0,350860.0,0.5621102973845931,moneyflow_dc,95.81,True,True,True,True,False,BUY
688359.SH,三孚新科,20260302,20260227,2026-03-02 16:33:14,20260227,3.2554,0.96,863437.0208,863437.0208,6002.8147,9833.0147,20260227,1520.7,5.45,-1392.27,-4.99,2912.97,10.43,20260302,105.37,70.25,15:29:10.890,89.86,87.81,2.334586038036667,90.8,85.0,0.837931034482759,-0.0009,1.1128421989767545,1.8158999406740124,89.85,89.86,31527.11,17361.7,351.0,193.0,36608.0,323173664.0,88.27951923076922,1.758825694670348,17824.0,18785.0,0.4868881118881119,moneyflow_dc,95.67,True,True,True,True,False,BUY
300516.SZ,久之洋,20260302,20260227,2026-03-02 16:33:14,20260227,4.4229,1.27,1271880.0,1271880.0,5759.6038,18000.0,20260227,1156.59,2.05,1316.73,2.34,-160.15,-0.28,20260302,84.79,56.53,15:29:14.622,75.64,70.66,7.047834701386929,75.65,69.8,0.9982905982905974,0.0021,1.322051824432194,8.090921003220862,75.64,75.65,142633.38999999998,17628.82,1886.0,233.0,140090.0,1030566272.0,73.56458505246627,2.7438061178394104,74195.0,65896.0,0.5296238132629024,moneyflow_dc,95.28,True,True,True,True,False,BUY
