ts_code,trade_date,cost_5pct,cost_95pct,weight_avg,winner_rate
300132.SZ,20260327,8.2,9.6,8.96,25.1
002643.SZ,20260327,15.0,17.8,16.55,19.86
002805.SZ,20260327,16.4,18.2,17.4,96.88
300138.SZ,20260327,12.8,15.3,13.87,16.82
300136.SZ,20260327,59.2,73.2,64.46,30.21
002889.SZ,20260327,13.1,16.5,15.12,5.73
300142.SZ,20260327,10.8,13.5,12.29,73.84
002501.SZ,20260327,1.6,2.6,2.12,41.31
300141.SZ,20260327,13.0,16.4,14.7,13.89
300140.SZ,20260327,6.8,8.0,7.54,38.4
002511.SZ,20260327,7.8,9.0,8.86,29.3
002510.SZ,20260327,6.8,8.4,7.63,21.95
002554.SZ,20260327,3.5,4.8,3.98,37.8
002508.SZ,20260327,18.8,22.0,20.41,55.75
002738.SZ,20260327,61.6,90.4,73.02,60.02
300154.SZ,20260327,7.7,9.8,8.91,16.08
300331.SZ,20260327,39.0,49.4,43.6,43.88
300144.SZ,20260327,7.6,9.3,8.51,9.74
300143.SZ,20260327,11.2,13.4,12.45,60.44
002514.SZ,20260327,4.5,5.7,4.98,17.48
002507.SZ,20260327,12.4,13.6,13.33,14.05
002513.SZ,20260327,6.0,7.4,6.44,63.38
601777.SH,20260327,8.6,12.4,10.87,12.13
601880.SH,20260327,1.5,1.8,1.68,40.43
002515.SZ,20260327,5.7,6.5,6.09,12.77
300145.SZ,20260327,4.3,5.5,4.91,5.61
300148.SZ,20260327,4.0,5.4,4.44,46.37
002520.SZ,20260327,5.4,7.0,6.01,43.54
300168.SZ,20260327,5.5,8.0,6.89,19.5
300158.SZ,20260327,5.6,6.5,6.05,83.07
002516.SZ,20260327,5.5,7.2,6.42,7.2
002517.SZ,20260327,17.4,26.0,20.66,20.28
603167.SH,20260327,8.9,10.1,9.49,14.96
002519.SZ,20260327,7.3,9.0,7.98,84.51
300157.SZ,20260327,6.4,7.7,6.81,62.54
002522.SZ,20260327,5.2,6.4,5.81,47.6
300146.SZ,20260327,10.8,12.8,12.18,9.86
300149.SZ,20260327,9.1,12.2,10.36,52.76
002743.SZ,20260327,5.2,6.4,5.76,30.92
002547.SZ,20260327,3.2,3.9,3.44,47.24
300155.SZ,20260327,4.6,5.8,5.16,27.6
300151.SZ,20260327,14.8,18.8,16.97,28.99
002606.SZ,20260327,11.1,14.4,12.47,37.45
002524.SZ,20260327,4.1,4.9,4.54,35.45
300153.SZ,20260327,25.6,37.6,28.44,39.58
002526.SZ,20260327,3.3,4.0,3.68,37.28
002532.SZ,20260327,15.0,20.8,17.76,24.76
002534.SZ,20260327,16.2,20.6,18.58,9.74
002531.SZ,20260327,7.8,12.6,10.96,34.06
300169.SZ,20260327,5.9,7.1,6.44,47.68
300162.SZ,20260327,8.5,9.8,9.11,13.96
300161.SZ,20260327,27.6,35.2,31.46,9.56
002540.SZ,20260327,6.1,7.8,7.12,18.81
002702.SZ,20260327,5.3,6.3,5.65,76.09
002567.SZ,20260327,4.0,4.8,4.42,13.04
601933.SH,20260327,3.8,5.2,4.37,11.94
300191.SZ,20260327,36.0,43.6,38.63,75.46
300223.SZ,20260327,107.2,131.2,118.92,23.2
002535.SZ,20260327,3.4,4.1,3.79,24.72
002609.SZ,20260327,8.2,11.0,9.64,15.72
300164.SZ,20260327,16.8,19.2,17.43,51.01
300163.SZ,20260327,4.4,5.4,4.84,33.27
300160.SZ,20260327,5.6,6.1,5.91,86.96
002536.SZ,20260327,28.8,40.2,33.14,13.41
002557.SZ,20260327,20.8,24.8,23.46,14.42
002539.SZ,20260327,13.3,16.1,14.65,45.81
601890.SH,20260327,10.0,13.3,11.37,24.69
002533.SZ,20260327,13.4,16.3,14.91,24.57
300170.SZ,20260327,19.2,24.2,20.52,22.19
300174.SZ,20260327,15.6,17.1,16.47,59.5
300166.SZ,20260327,13.9,15.9,14.82,22.43
002537.SZ,20260327,7.4,9.3,8.09,59.43
300172.SZ,20260327,5.7,6.4,6.01,46.44
300171.SZ,20260327,13.8,18.0,16.47,15.83
300194.SZ,20260327,3.9,4.7,4.34,16.58
300180.SZ,20260327,6.0,7.2,6.6,21.3
002545.SZ,20260327,21.6,30.4,25.87,22.35
002550.SZ,20260327,7.0,9.0,7.83,38.91
002544.SZ,20260327,25.2,36.8,30.05,7.63
002541.SZ,20260327,16.8,24.8,21.74,42.58
601116.SH,20260327,13.6,18.8,15.68,20.93
002570.SZ,20260327,5.0,6.2,5.52,38.98
002551.SZ,20260327,3.2,4.0,3.5,49.47
300177.SZ,20260327,8.0,10.4,8.85,13.04
300176.SZ,20260327,6.8,8.0,7.44,23.35
002542.SZ,20260327,2.9,3.8,3.4,7.12
300181.SZ,20260327,15.2,18.0,16.53,17.43
601700.SH,20260327,5.4,6.9,6.08,14.88
601137.SH,20260327,18.4,23.0,20.14,8.59
300193.SZ,20260327,8.3,9.9,9.28,14.27
300183.SZ,20260327,13.8,16.6,15.6,10.98
300197.SZ,20260327,1.7,2.0,1.88,60.55
002543.SZ,20260327,8.9,11.9,9.72,23.92
601519.SH,20260327,10.5,15.0,12.41,12.0
002552.SZ,20260327,15.6,21.0,18.78,9.61
002546.SZ,20260327,9.0,11.6,10.06,24.29
601799.SH,20260327,120.0,153.6,136.09,22.43
300184.SZ,20260327,10.5,11.5,11.01,42.06
300182.SZ,20260327,5.5,6.6,5.86,58.84
002769.SZ,20260327,10.7,12.7,11.56,27.64
601616.SH,20260327,4.7,6.0,5.09,57.74
300340.SZ,20260327,10.6,12.6,11.28,68.45
300203.SZ,20260327,13.0,17.0,15.35,21.78
002558.SZ,20260327,30.8,47.6,37.12,13.66
