日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-10-29,0.04487446988043012,9.38,8.96,9.85,0.047023106643026176,9.07,9.67,0.031790655115978415
2025-10-30,0.037546441481217975,9.38,8.96,9.83,0.04610769890015715,9.07,9.67,0.031790655115978415
2025-10-31,0.053488556279058096,9.38,8.95,9.83,0.04711353213878492,9.07,9.67,0.031790655115978415
2025-11-03,0.17812122101859681,9.36,8.95,9.83,0.04711353213878492,9.05,9.67,0.03278559240618858
2025-11-04,0.14090945728909735,9.36,8.95,9.83,0.04711353213878492,9.05,9.67,0.03278559240618858
2025-11-05,0.21599472821873467,9.36,8.95,9.83,0.04711353213878492,9.05,9.67,0.03278559240618858
2025-11-06,0.16988790455543973,9.34,8.95,9.83,0.04711353213878492,9.05,9.67,0.03278559240618858
2025-11-07,0.17235793994932808,9.34,8.95,9.83,0.04711353213878492,9.05,9.65,0.03185202461472219
2025-11-10,0.2102435644891451,9.34,8.95,9.83,0.04711353213878492,9.05,9.65,0.03185202461472219
2025-11-11,0.2433500282027857,9.33,8.96,9.81,0.045190530826997866,9.05,9.65,0.03185202461472219
2025-11-12,0.21632392254526206,9.33,8.96,9.81,0.045190530826997866,9.05,9.65,0.03185202461472219
2025-11-13,0.21953828878599516,9.33,8.96,9.81,0.045190530826997866,9.05,9.65,0.03185202461472219
2025-11-14,0.28036954714651224,9.33,8.96,9.81,0.045190530826997866,9.05,9.65,0.03185202461472219
2025-11-17,0.3094403403516341,9.31,8.96,9.81,0.045190530826997866,9.05,9.65,0.03185202461472219
2025-11-18,0.06211312162170488,9.31,8.96,9.81,0.045190530826997866,9.05,9.65,0.03185202461472219
2025-11-19,0.029404257234816038,9.29,8.95,9.81,0.04619644939928876,9.05,9.65,0.03185202461472219
2025-11-20,0.04372351051711727,9.29,8.95,9.79,0.04527759971063589,9.04,9.65,0.03284894370497014
2025-11-21,0.010904128899887781,9.29,8.91,9.79,0.04729543048852687,9.04,9.65,0.03284894370497014
2025-11-24,0.023342625003492688,9.27,8.89,9.79,0.04830727015436771,9.02,9.63,0.03291254030400733
2025-11-25,0.036701096775328554,9.27,8.86,9.79,0.05033682634730534,9.02,9.63,0.03291254030400733
2025-11-26,0.04481628475133779,9.27,8.82,9.79,0.05237425635478633,9.02,9.63,0.03291254030400733
2025-11-27,0.026713137920623624,9.27,8.78,9.79,0.054419606086441315,9.02,9.63,0.03291254030400733
2025-11-28,0.06297502719277452,9.27,8.77,9.79,0.055445265293281615,9.0,9.63,0.0339133848908036
2025-12-01,0.0737941226428912,9.25,8.77,9.79,0.055445265293281615,9.0,9.63,0.0339133848908036
2025-12-02,0.06100320785448257,9.25,8.77,9.79,0.055445265293281615,8.98,9.63,0.034916170903190887
2025-12-03,0.058315362466552716,9.25,8.75,9.79,0.056472921809507935,8.98,9.63,0.034916170903190887
2025-12-04,0.022317731088929055,9.25,8.75,9.79,0.056472921809507935,8.98,9.63,0.034916170903190887
2025-12-05,0.059888108751352066,9.25,8.73,9.79,0.05750258147497321,8.96,9.63,0.035920903995582544
2025-12-08,0.062366919081864314,9.25,8.73,9.78,0.0565831084805756,8.96,9.63,0.035920903995582544
2025-12-09,0.019121229052615395,9.23,8.73,9.78,0.0565831084805756,8.96,9.63,0.035920903995582544
2025-12-10,0.01719906133115477,9.23,8.71,9.78,0.057614886719643404,8.96,9.63,0.035920903995582544
2025-12-11,0.0042145534827952155,9.23,8.71,9.78,0.057614886719643404,8.95,9.63,0.036927589844370896
2025-12-12,0.0033798223190644977,9.23,8.69,9.78,0.05864868203984039,8.95,9.63,0.036927589844370896
2025-12-15,0.010547242673650066,9.23,8.68,9.78,0.05968450036191166,8.93,9.63,0.03793623414803478
2025-12-16,0.00629719234106382,9.23,8.66,9.78,0.060722347629796836,8.93,9.63,0.03793623414803478
2025-12-17,0.0069151731676446795,9.22,8.62,9.78,0.06280415289542614,8.91,9.61,0.03801018097498237
2025-12-18,0.022462048464104982,9.22,8.6,9.78,0.06384812289805121,8.87,9.61,0.040037463652633574
2025-12-19,0.03779511650780508,9.22,8.57,9.78,0.06594222783235469,8.86,9.61,0.04105407742788828
2025-12-22,0.03444104054918541,9.22,8.53,9.78,0.06804459320250605,8.84,9.61,0.04207268058298694
2025-12-23,0.03210765457522167,9.22,8.42,9.78,0.0744017436007125,8.82,9.61,0.043093278963081634
2025-12-24,0.042177281534960066,9.2,8.4,9.78,0.07546863348763728,8.8,9.61,0.04411587843624615
2025-12-25,0.05863736851199189,9.2,8.39,9.78,0.07653764434180141,8.8,9.61,0.04411587843624615
2025-12-26,0.027448786280907085,9.2,8.39,9.78,0.07653764434180141,8.78,9.61,0.04514048489358755
2025-12-29,0.016067069814194708,9.2,8.37,9.78,0.0776087824941928,8.77,9.61,0.046167104249360026
2025-12-30,0.005473290906002776,9.2,8.37,9.76,0.07669010355922343,8.75,9.61,0.04719574244107845
2025-12-31,0.010208569804741488,9.18,8.35,9.76,0.07776352949024896,8.75,9.61,0.04719574244107845
2026-01-05,0.04828091648477104,9.18,8.33,9.76,0.07883909790056716,8.73,9.61,0.048226405429632455
2026-01-06,0.10155664495524,9.18,8.33,9.76,0.07883909790056716,8.71,9.61,0.04925909919940233
2026-01-07,0.05546362724175182,9.18,8.33,9.76,0.07883909790056716,8.69,9.6,0.049356349171400415
2026-01-08,0.11739530120869807,9.16,8.33,9.76,0.07883909790056716,8.68,9.6,0.050393220662726494
2026-01-09,0.1230104568528821,9.16,8.33,9.76,0.07883909790056716,8.66,9.6,0.051432143251093826
2026-01-12,0.13773677378163193,9.16,8.33,9.76,0.07883909790056716,8.62,9.6,0.05351616611158592
2026-01-13,0.1453970727168386,9.14,8.33,9.76,0.07883909790056716,8.58,9.6,0.05560846678036424
2026-01-14,0.1509712165009872,9.14,8.33,9.76,0.07883909790056716,8.57,9.6,0.0566577367205543
2026-01-15,0.17896497143959939,9.13,8.33,9.76,0.07883909790056716,8.57,9.6,0.0566577367205543
2026-01-16,0.22485469052838458,9.13,8.33,9.74,0.07791889483065952,8.58,9.58,0.05466974595842958
2026-01-19,0.21821322224030149,9.13,8.33,9.74,0.07791889483065952,8.58,9.58,0.05466974595842958
