代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
600955,维远股份,16.82,8.0283,32634599.999999993,8.499601240493913,-7.473620252013051,A:机构锁仓,"中盘锁仓(市值92.5亿): 主力8.499601240493913%, 小单-7.473620252013051%"
002897,意华股份,51.77,5.245,92674400.0,8.451460914355227,-8.514039064086228,A:机构锁仓,"中盘锁仓(市值94.4亿): 主力8.451460914355227%, 小单-8.514039064086228%"
600312,平高电气,17.45,-3.0556,41930600.000000015,8.415156480606022,-10.595439542952075,"A:机构锁仓,B:低位起爆","涨幅-3.0556%, 主力流入4193万, 昨日流出-1074万 | 中盘锁仓(市值236.8亿): 主力8.415156480606022%, 小单-10.595439542952075%"
300644,南京聚隆,37.03,8.2116,43072400.000000015,8.386862089305161,-8.638239745467642,A:机构锁仓,"小盘锁仓(市值32.8亿): 主力8.386862089305161%, 小单-8.638239745467642%"
301589,,166.3,6.6026,27808099.999999996,8.371670360944949,-9.975341623840208,A:机构锁仓,"中盘锁仓(市值57.3亿): 主力8.371670360944949%, 小单-9.975341623840208%"
002452,长高电新,8.23,-0.4837,7934599.999999996,8.359701963234059,-7.673297377111638,A:机构锁仓,"小盘锁仓(市值42.5亿): 主力8.359701963234059%, 小单-7.673297377111638%"
301225,恒勃股份,139.09,19.9983,38044800.000000015,8.304238061634624,-5.495384891888983,A:机构锁仓,"小盘锁仓(市值41.6亿): 主力8.304238061634624%, 小单-5.495384891888983%"
002170,芭田股份,12.06,-1.6313,29604800.0,8.137249692777237,-7.150988027519466,"A:机构锁仓,B:低位起爆","涨幅-1.6313%, 主力流入2960万, 昨日流出-1923万 | 中盘锁仓(市值94.6亿): 主力8.137249692777237%, 小单-7.150988027519466%"
300918,南山智尚,17.69,3.0285,32198000.0,8.110434464623994,-9.732546546798018,A:机构锁仓,"中盘锁仓(市值89.5亿): 主力8.110434464623994%, 小单-9.732546546798018%"
003038,鑫铂股份,15.96,1.269,7257500.0,8.107928363025966,-8.134740664880962,A:机构锁仓,"小盘锁仓(市值26.4亿): 主力8.107928363025966%, 小单-8.134740664880962%"
